BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2021;310000310;310780671;2500;;;0.8;;0.8;0.2;9.94;;31.4;19.29;0.69;;1;62.52;;;;;;63.32
Q24;2021;310000310;310780671;9999;1.25;1;86.9;;89.15;12.3;157.03;15.72;194.48;82.49;2.16;15.58;9.61;489.37;4.46;2.95;7.41;49.33;71.99;707.25
Q24;2021;310000336;310780713;1000;;;9.38;;9.38;1;1.05;;1.4;3.63;;;0.27;7.35;0.06;0.86;0.92;1.3;24.66;43.61
Q24;2021;310000336;310780713;2000;;;;;;1;23.51;;43.59;32.63;1.3;;4.57;106.6;0.81;;0.81;1.4;;108.81
Q24;2021;310000336;310780713;2100;;;;;;;;;;0.36;;;2.58;2.94;;;;;;2.94
Q24;2021;310000336;310780713;2400;;;;;;1;11.55;;17.57;11.6;0.8;;1.24;43.76;0.58;;0.58;;;44.34
Q24;2021;310000336;310780713;2500;;;;;;;11.96;;26.02;20.67;0.5;;0.75;59.9;0.23;;0.23;1.4;;61.53
Q24;2021;310000336;310780713;9999;;;9.38;;9.38;2;24.56;;44.99;36.26;1.3;;4.84;113.95;0.87;0.86;1.73;2.7;24.66;152.42
Q24;2021;310000369;310780754;1000;5.43;2;57.27;;64.7;1.5;5.57;0.34;2.22;3.73;2;;0;15.36;1;1.98;2.98;1;134.53;218.57
Q24;2021;310000369;310780754;2000;0;0;59.35;;59.35;46.7;553.9;0.41;99.05;119.82;47.9;;24.82;892.6;59.53;30.99;90.52;5.89;0;1048.36
Q24;2021;310000369;310780754;2200;0;0;59.35;;59.35;46.7;553.9;0.41;99.05;119.82;47.9;;24.82;892.6;59.53;30.99;90.52;5.89;0;1048.36
Q24;2021;310000369;310780754;9999;5.43;2;116.62;;124.05;48.2;559.47;0.75;101.27;123.55;49.9;;24.82;907.96;60.53;32.97;93.5;6.89;134.53;1266.93
Q24;2021;310005459;310021886;2000;1;1;9.71;;11.71;2.59;27.32;;5.03;;0.91;2.31;;38.16;;3.23;3.23;4.87;;57.97
Q24;2021;310005459;310021886;2300;1;1;9.71;;11.71;2.59;27.32;;5.03;;0.91;2.31;;38.16;;3.23;3.23;4.87;;57.97
Q24;2021;310005459;310021886;9999;1;1;9.71;;11.71;2.59;27.32;;5.03;;0.91;2.31;;38.16;;3.23;3.23;4.87;;57.97
Q24;2021;310006473;310002712;2000;;;;;;;1;;;;;;;1;;;;;;1
Q24;2021;310006473;310002712;2100;;;;;;;1;;;;;;;1;;;;;;1
Q24;2021;310006473;310002712;9999;;;;;;;1;;;;;;;1;;;;;;1
Q24;2021;310011838;310002712;2000;;;;;;;3;;;;;;;3;;;;;;3
Q24;2021;310011838;310002712;2100;;;;;;;3;;;;;;;3;;;;;;3
Q24;2021;310011838;310002712;9999;;;;;;;3;;;;;;;3;;;;;;3
Q24;2021;310013628;310786256;1000;3;;23.72;;26.72;2.37;6.72;;17.85;21.16;1.5;;4.89;54.49;2.48;1.77;4.25;2.71;34.63;122.8
Q24;2021;310013628;310786256;2000;;;;;;1.79;27.55;;59.77;5.62;1;;0.39;96.12;;1.43;1.43;;;97.55
Q24;2021;310013628;310786256;2100;;;;;;0.29;5.84;;9.31;0.27;0.15;;0.32;16.18;;0.54;0.54;;;16.72
Q24;2021;310013628;310786256;2400;;;;;;0.71;11.52;;24.84;1.07;0.35;;0;38.49;;0.67;0.67;;;39.16
Q24;2021;310013628;310786256;2500;;;;;;0.79;10.19;;25.62;4.28;0.5;;0.07;41.45;;0.22;0.22;;;41.67
Q24;2021;310013628;310786256;9999;3;;23.72;;26.72;4.16;34.27;;77.62;26.78;2.5;;5.28;150.61;2.48;3.2;5.68;2.71;34.63;220.35
Q24;2021;310014329;310781562;2000;0.18;0.03;3.8;;4.01;1;5.72;;1.33;2.13;0.5;;5.3;15.98;2.87;0.5;3.37;;0.6;23.96
Q24;2021;310014329;310781562;2400;0.18;0.03;3.8;;4.01;1;5.72;;1.33;2.13;0.5;;5.3;15.98;2.87;0.5;3.37;;0.6;23.96
Q24;2021;310014329;310781562;9999;0.18;0.03;3.8;;4.01;1;5.72;;1.33;2.13;0.5;;5.3;15.98;2.87;0.5;3.37;;0.6;23.96
Q24;2021;310016977;310781406;1000;1.19;;91.58;;92.77;2.64;4.75;6.66;22.46;42.81;0.18;11.6;0.53;91.63;;;;2.07;26.52;212.99
Q24;2021;310016977;310781406;2000;0.1;;30.52;;30.62;19.38;236.12;326.48;442.41;9.84;17.61;125.34;25.85;1203.03;0.35;0.05;0.4;63.59;24.97;1322.61
Q24;2021;310016977;310781406;2100;0.1;;28.08;;28.18;19.16;233.23;326.48;442.41;9.84;14.76;125.34;25.85;1197.07;0.35;0.05;0.4;63.59;24.97;1314.21
Q24;2021;310016977;310781406;2200;;;2.44;;2.44;0.22;2.89;0;;;2.85;;;5.96;;;;;;8.4
Q24;2021;310016977;310781406;9999;1.29;;122.1;;123.39;22.02;240.87;333.14;464.87;52.65;17.79;136.94;26.38;1294.66;0.35;0.05;0.4;65.66;51.49;1535.6
Q24;2021;310018650;310781562;2000;;;0.18;;0.18;;;;;;0.5;;0.24;0.74;0.75;0.3;1.05;;;1.97
Q24;2021;310018650;310781562;2200;;;0.18;;0.18;;;;;;0.5;;0.24;0.74;0.75;0.3;1.05;;;1.97
Q24;2021;310018650;310781562;9999;;;0.18;;0.18;;;;;;0.5;;0.24;0.74;0.75;0.3;1.05;;;1.97
Q24;2021;310019351;310781406;1000;;;43.68;;43.68;;2.8;0.08;2.99;;;;0.18;6.05;;;;0;35.23;84.96
Q24;2021;310019351;310781406;2000;;;16.98;;16.98;8.94;204.47;14.03;146.74;2.84;3.53;;17.43;397.98;1;0.1;1.1;12.02;11.13;439.21
Q24;2021;310019351;310781406;2100;;;16.98;;16.98;8.85;203.49;14.03;146.74;2.84;3.32;;15.85;395.12;1;;1;12.02;11.13;436.25
Q24;2021;310019351;310781406;2400;;;0;;0;0.09;0.98;;0;;0.21;;1.58;2.86;;0.1;0.1;;;2.96
Q24;2021;310019351;310781406;9999;;;60.66;;60.66;8.94;207.27;14.11;149.73;2.84;3.53;;17.61;404.03;1;0.1;1.1;12.02;46.36;524.17
Q24;2021;310020169;310000633;2000;0.03;0.03;0.38;;0.44;0.03;0.9;;;;0.02;;0.04;0.99;;0.06;0.06;0.29;0.23;2.01
Q24;2021;310020169;310000633;2100;0.03;0.03;0.38;;0.44;0.03;0.9;;;;0.02;;0.04;0.99;;0.06;0.06;0.29;0.23;2.01
Q24;2021;310020169;310000633;9999;0.03;0.03;0.38;;0.44;0.03;0.9;;;;0.02;;0.04;0.99;;0.06;0.06;0.29;0.23;2.01
Q24;2021;310020938;750056335;2000;2;;9.16;;11.16;2;22.7;;22.64;19.83;0.8;;3.93;71.9;;1.4;1.4;1;6.1;91.56
Q24;2021;310020938;750056335;2400;2;;9.16;;11.16;2;22.7;;22.64;19.83;0.8;;3.93;71.9;;1.4;1.4;1;6.1;91.56
Q24;2021;310020938;750056335;9999;2;;9.16;;11.16;2;22.7;;22.64;19.83;0.8;;3.93;71.9;;1.4;1.4;1;6.1;91.56
Q24;2021;310021571;310021563;1000;0.25;;3;;3.25;;;0.3;;;;;;0.3;;;;;6;9.55
Q24;2021;310021571;310021563;2000;1.75;;6.5;;8.25;3;42.61;;56.93;;2.5;;4.3;109.34;;1.5;1.5;;4.5;123.59
Q24;2021;310021571;310021563;2100;0.5;;0.5;;1;1;5.66;;8;;0.5;;0.86;16.02;;0.3;0.3;;0.5;17.82
Q24;2021;310021571;310021563;2400;0.75;;4;;4.75;1;25.3;;25.63;;1;;2.41;55.34;;1;1;;3;64.09
Q24;2021;310021571;310021563;2500;0.5;;2;;2.5;1;11.65;;23.3;;1;;1.03;37.98;;0.2;0.2;;1;41.68
Q24;2021;310021571;310021563;9999;2;;9.5;;11.5;3;42.61;0.3;56.93;;2.5;;4.3;109.64;;1.5;1.5;;10.5;133.14
Q24;2021;310022298;310781406;1000;;;8;;8;0.94;0.68;0.75;3.73;;0.42;;0.36;6.88;;;;;0.27;15.15
Q24;2021;310022298;310781406;2000;;;3.79;;3.79;3.76;74.71;;120.57;2;2.3;;26.46;229.8;1;;1;;1.68;236.27
Q24;2021;310022298;310781406;2100;;;1.79;;1.79;0.94;14.83;;24.86;;0.5;;21.99;63.12;1;;1;;1.68;67.59
Q24;2021;310022298;310781406;2400;;;2;;2;1.88;44.52;;62.15;;1.8;;4.47;114.82;;;;;;116.82
Q24;2021;310022298;310781406;2500;;;;;;0.94;15.36;;33.56;2;;;;51.86;;;;;;51.86
Q24;2021;310022298;310781406;9999;;;11.79;;11.79;4.7;75.39;0.75;124.3;2;2.72;;26.82;236.68;1;;1;;1.95;251.42
Q24;2021;310023007;810005678;2000;1;;2;;3;1;10.11;;0.14;4.76;1.65;;1.47;19.13;;0.8;0.8;;1;23.93
Q24;2021;310023007;810005678;2400;1;;2;;3;1;10.11;;0.14;4.76;1.65;;1.47;19.13;;0.8;0.8;;1;23.93
Q24;2021;310023007;810005678;9999;1;;2;;3;1;10.11;;0.14;4.76;1.65;;1.47;19.13;;0.8;0.8;;1;23.93
Q24;2021;310025333;310781406;1000;0.08;;12.74;;12.82;1.01;3.06;;1.04;;;;;5.11;;;;1.2;37.28;56.41
Q24;2021;310025333;310781406;2000;2.65;;15.97;;18.62;6.73;149.9;;102.72;1;;0.04;;260.39;;;;118.59;53.65;451.25
Q24;2021;310025333;310781406;2100;2.65;;15.97;;18.62;6.73;149.9;;102.72;1;;0.04;;260.39;;;;118.59;53.65;451.25
Q24;2021;310025333;310781406;9999;2.73;;28.71;;31.44;7.74;152.96;;103.76;1;;0.04;;265.5;;;;119.79;90.93;507.66
Q24;2021;310026083;310026075;1000;3;;40.68;;43.68;6.5;;;;;;;;6.5;;;;8.76;9.86;68.8
Q24;2021;310026083;310026075;2000;;1;;;1;7;56.09;48.92;49.2;71.84;0.5;40.61;1;275.16;;0.5;0.5;;;276.66
Q24;2021;310026083;310026075;2100;;1;;;1;7;56.09;48.92;49.2;71.84;0.5;40.61;1;275.16;;0.5;0.5;;;276.66
Q24;2021;310026083;310026075;9999;3;1;40.68;;44.68;13.5;56.09;48.92;49.2;71.84;0.5;40.61;1;281.66;;0.5;0.5;8.76;9.86;345.46
Q24;2021;310026919;310000633;2000;0.03;0.03;0.38;;0.44;0.03;0.03;;;;0.02;;0.04;0.12;;0.06;0.06;0.29;0.23;1.14
Q24;2021;310026919;310000633;2100;0.03;0.03;0.38;;0.44;0.03;0.03;;;;0.02;;0.04;0.12;;0.06;0.06;0.29;0.23;1.14
Q24;2021;310026919;310000633;9999;0.03;0.03;0.38;;0.44;0.03;0.03;;;;0.02;;0.04;0.12;;0.06;0.06;0.29;0.23;1.14
Q24;2021;310026927;310026794;1000;4.47;1;65.66;;71.13;;;;;113.88;;;;113.88;;;;;11.93;196.94
Q24;2021;310026927;310026794;2000;;;;;;16.08;279.01;11.49;134.29;;1.11;20.11;1.85;463.94;;1;1;19.71;;484.65
Q24;2021;310026927;310026794;2100;;;;;;16.08;279.01;11.49;134.29;;1.11;20.11;1.85;463.94;;1;1;19.71;;484.65
Q24;2021;310026927;310026794;9999;4.47;1;65.66;;71.13;16.08;279.01;11.49;134.29;113.88;1.11;20.11;1.85;577.82;;1;1;19.71;11.93;681.59
Q24;2021;310031927;310000633;2000;0.01;0.01;0.13;;0.15;0.01;0.01;;;;0.01;;0.01;0.04;;0.02;0.02;0.1;0.08;0.39
Q24;2021;310031927;310000633;2100;0.01;0.01;0.13;;0.15;0.01;0.01;;;;0.01;;0.01;0.04;;0.02;0.02;0.1;0.08;0.39
Q24;2021;310031927;310000633;9999;0.01;0.01;0.13;;0.15;0.01;0.01;;;;0.01;;0.01;0.04;;0.02;0.02;0.1;0.08;0.39
Q24;2021;310780119;310000047;2000;1.8;;7.9;;9.7;3;38.8;;11.5;6;0.7;;4.2;64.2;;1;1;0.7;3.8;79.4
Q24;2021;310780119;310000047;2200;1.8;;7.9;;9.7;3;38.8;;11.5;6;0.7;;4.2;64.2;;1;1;0.7;3.8;79.4
Q24;2021;310780119;310000047;9999;1.8;;7.9;;9.7;3;38.8;;11.5;6;0.7;;4.2;64.2;;1;1;0.7;3.8;79.4
Q24;2021;310780143;920030269;2000;3.19;;9.49;;12.68;4.84;31.02;;6.2;13.6;4.05;;1.67;61.38;;1.08;1.08;0.9;10.77;86.81
Q24;2021;310780143;920030269;2200;3.19;;9.49;;12.68;4.84;31.02;;6.2;13.6;4.05;;1.67;61.38;;1.08;1.08;0.9;10.77;86.81
Q24;2021;310780143;920030269;9999;3.19;;9.49;;12.68;4.84;31.02;;6.2;13.6;4.05;;1.67;61.38;;1.08;1.08;0.9;10.77;86.81
Q24;2021;310780150;310788799;1000;7;;28;;35;1;0;;;10.02;;;;11.02;;;;7.86;23.22;77.1
Q24;2021;310780150;310788799;2000;;1;3.18;;4.18;6.94;93.12;13.26;34.71;45.64;0.5;;7.8;201.97;;;;19.78;;225.93
Q24;2021;310780150;310788799;2100;;1;1.95;;2.95;6.94;88.46;13.26;32.63;43.97;;;1;186.26;;;;19.78;;208.99
Q24;2021;310780150;310788799;2400;;;1.23;;1.23;;4.66;;2.08;1.67;0.5;;6.8;15.71;;;;;;16.94
Q24;2021;310780150;310788799;9999;7;1;31.18;;39.18;7.94;93.12;13.26;34.71;55.66;0.5;;7.8;212.99;;;;27.64;23.22;303.03
Q24;2021;310780234;920030871;2000;3.18;;6.14;;9.32;0.86;19.88;;23.78;23.4;0.92;;22.57;91.41;;0.98;0.98;1.95;11.55;115.21
Q24;2021;310780234;920030871;2400;3.18;;6.14;;9.32;0.86;19.88;;23.78;23.4;0.92;;22.57;91.41;;0.98;0.98;1.95;11.55;115.21
Q24;2021;310780234;920030871;9999;3.18;;6.14;;9.32;0.86;19.88;;23.78;23.4;0.92;;22.57;91.41;;0.98;0.98;1.95;11.55;115.21
Q24;2021;310780259;310000096;1000;3.8;;100.32;;104.12;;;;;62.4;;;;62.4;;;;;86.7;253.22
Q24;2021;310780259;310000096;2000;0.5;1;16.98;;18.48;21.8;431;13.1;138.1;89.4;3.2;;8.5;705.1;0.5;1.1;1.6;40.6;;765.78
Q24;2021;310780259;310000096;2100;;1;;;1;15.99;386.47;13.1;130.54;89.4;2.15;;7.79;645.44;0.5;0.41;0.91;40.6;;687.95
Q24;2021;310780259;310000096;2300;0.5;;16.98;;17.48;5.81;44.53;;7.56;;1.05;;0.71;59.66;;0.69;0.69;;;77.83
Q24;2021;310780259;310000096;9999;4.3;1;117.3;;122.6;21.8;431;13.1;138.1;151.8;3.2;;8.5;767.5;0.5;1.1;1.6;40.6;86.7;1019
Q24;2021;310780283;310000112;1000;4.54;1;82.35;;87.89;;;;;;;;;;;;;50.22;15.98;154.09
Q24;2021;310780283;310000112;2000;0;0;0;;0;13.41;242.35;9.06;155.29;31.42;0.9;12.02;1.52;465.97;;1.43;1.43;0;0;467.4
Q24;2021;310780283;310000112;2100;0;0;0;;0;13.41;242.35;9.06;155.29;31.42;0.9;12.02;1.52;465.97;;1.43;1.43;0;0;467.4
Q24;2021;310780283;310000112;9999;4.54;1;82.35;;87.89;13.41;242.35;9.06;155.29;31.42;0.9;12.02;1.52;465.97;;1.43;1.43;50.22;15.98;621.49
Q24;2021;310780358;310000146;2000;1.5;0.42;8.28;;10.2;1.97;27.75;;9.86;22.31;1.51;;;63.4;1.59;0.57;2.16;;3.48;79.24
Q24;2021;310780358;310000146;2200;1.5;0.42;8.28;;10.2;1.97;27.75;;9.86;22.31;1.51;;;63.4;1.59;0.57;2.16;;3.48;79.24
Q24;2021;310780358;310000146;9999;1.5;0.42;8.28;;10.2;1.97;27.75;;9.86;22.31;1.51;;;63.4;1.59;0.57;2.16;;3.48;79.24
Q24;2021;310780366;310000153;1000;2.74;;15.06;;17.8;;;;;;;;;;;;;0.66;21.19;39.65
Q24;2021;310780366;310000153;2000;;;;;;3;36.32;;44.77;13.8;1.79;;18.2;117.88;;1.57;1.57;;;119.45
Q24;2021;310780366;310000153;2100;;;;;;1;16;;16;3;0.39;;1.5;37.89;;0.65;0.65;;;38.54
Q24;2021;310780366;310000153;2400;;;;;;2;20.32;;28.77;10.8;1.4;;16.7;79.99;;0.92;0.92;;;80.91
Q24;2021;310780366;310000153;9999;2.74;;15.06;;17.8;3;36.32;;44.77;13.8;1.79;;18.2;117.88;;1.57;1.57;0.66;21.19;159.1
Q24;2021;310780374;310000161;2000;3.5;;12.63;;16.13;2;32.08;;22.46;;2.77;;14.88;74.19;;1;1;;4.37;95.69
Q24;2021;310780374;310000161;2400;3.5;;12.63;;16.13;2;32.08;;22.46;;2.77;;14.88;74.19;;1;1;;4.37;95.69
Q24;2021;310780374;310000161;9999;3.5;;12.63;;16.13;2;32.08;;22.46;;2.77;;14.88;74.19;;1;1;;4.37;95.69
Q24;2021;310780382;310000179;1000;3.08;1;33.23;;37.31;;;;;26.64;0.47;;0.91;28.02;;0.86;0.86;5.89;11.61;83.69
Q24;2021;310780382;310000179;2000;;;;;;9.14;61.2;41.15;32.61;22.41;;24.15;;190.66;;;;;;190.66
Q24;2021;310780382;310000179;2100;;;;;;9.14;61.2;41.15;32.61;22.41;;24.15;;190.66;;;;;;190.66
Q24;2021;310780382;310000179;9999;3.08;1;33.23;;37.31;9.14;61.2;41.15;32.61;49.05;0.47;24.15;0.91;218.68;;0.86;0.86;5.89;11.61;274.35
Q24;2021;310780390;310000187;1000;0.86;;12.2;;13.06;;;;;;;;;;1.16;1;2.16;;3;18.22
Q24;2021;310780390;310000187;2000;0.14;;;;0.14;0.93;79.71;;11.85;;0.6;;;93.09;;;;0.83;;94.06
Q24;2021;310780390;310000187;2200;;;;;;0.79;70.38;;11.85;;0.6;;;83.62;;;;0.69;;84.31
Q24;2021;310780390;310000187;2300;0.14;;;;0.14;0.14;9.33;;;;;;;9.47;;;;0.14;;9.75
Q24;2021;310780390;310000187;9999;1;;12.2;;13.2;0.93;79.71;;11.85;;0.6;;;93.09;1.16;1;2.16;0.83;3;112.28
Q24;2021;310780481;340015171;2000;1;;7.94;;8.94;1;4.63;;5.21;;1.55;;1.87;14.26;29.76;;29.76;0.8;8.22;61.98
Q24;2021;310780481;340015171;2400;1;;7.94;;8.94;1;4.63;;5.21;;1.55;;1.87;14.26;29.76;;29.76;0.8;8.22;61.98
Q24;2021;310780481;340015171;9999;1;;7.94;;8.94;1;4.63;;5.21;;1.55;;1.87;14.26;29.76;;29.76;0.8;8.22;61.98
Q24;2021;310781000;310788880;1000;2.32;;78.45;;80.77;;;;;;;;;;;;;39.22;12.98;132.97
Q24;2021;310781000;310788880;2000;;;;;;25.08;316.43;0.75;154.61;84.83;1.98;;;583.68;;2.95;2.95;;;586.63
Q24;2021;310781000;310788880;2100;;;;;;22.86;270.96;0.75;139.29;76.72;1.98;;;512.56;;2.95;2.95;;;515.51
Q24;2021;310781000;310788880;2200;;;;;;2.22;45.47;;15.32;8.11;;;;71.12;;;;;;71.12
Q24;2021;310781000;310788880;9999;2.32;;78.45;;80.77;25.08;316.43;0.75;154.61;84.83;1.98;;;583.68;;2.95;2.95;39.22;12.98;719.6
Q24;2021;310781067;310788898;1000;5;1;30.71;;36.71;0;0;0;0;0;0;0;0;0;1.59;4.6;6.19;19.58;7.95;70.43
Q24;2021;310781067;310788898;2000;0;0;57.24;;57.24;5.12;84.03;17.93;63;8.52;2.44;41.97;5.1;228.11;;0;0;0;0;285.35
Q24;2021;310781067;310788898;2100;0;0;57.24;;57.24;5.12;84.03;17.93;63;8.52;2.44;41.97;5.1;228.11;;0;0;0;0;285.35
Q24;2021;310781067;310788898;9999;5;1;87.95;;93.95;5.12;84.03;17.93;63;8.52;2.44;41.97;5.1;228.11;1.59;4.6;6.19;19.58;7.95;355.78
Q24;2021;310781125;310000419;2000;1.69;;2.78;;4.47;1.04;7.78;;9.76;;;;;18.58;;0.24;0.24;0.26;0.98;24.53
Q24;2021;310781125;310000419;2400;1.69;;2.78;;4.47;1.04;7.78;;9.76;;;;;18.58;;0.24;0.24;0.26;0.98;24.53
Q24;2021;310781125;310000419;9999;1.69;;2.78;;4.47;1.04;7.78;;9.76;;;;;18.58;;0.24;0.24;0.26;0.98;24.53
Q24;2021;310781133;310000427;2000;2;0.74;11.58;2.16;16.48;0.77;49.94;;3.69;16.14;2.35;;3.78;76.67;1;0.8;1.8;;8.42;103.37
Q24;2021;310781133;310000427;2200;2;0.74;11.58;2.16;16.48;0.77;49.94;;3.69;16.14;2.35;;3.78;76.67;1;0.8;1.8;;8.42;103.37
Q24;2021;310781133;310000427;9999;2;0.74;11.58;2.16;16.48;0.77;49.94;;3.69;16.14;2.35;;3.78;76.67;1;0.8;1.8;;8.42;103.37
Q24;2021;310781141;310000435;2000;3.64;;9.53;;13.17;2;42.2;;7.35;17.41;3.69;;2.82;75.47;0.69;1.46;2.15;0.91;10.36;102.06
Q24;2021;310781141;310000435;2200;3.64;;9.53;;13.17;2;42.2;;7.35;17.41;3.69;;2.82;75.47;0.69;1.46;2.15;0.91;10.36;102.06
Q24;2021;310781141;310000435;9999;3.64;;9.53;;13.17;2;42.2;;7.35;17.41;3.69;;2.82;75.47;0.69;1.46;2.15;0.91;10.36;102.06
Q24;2021;310781158;920031762;2000;2.26;;8.71;;10.97;3.75;38.18;;13.86;15.96;4.45;;1;77.2;7.5;1;8.5;0.81;9.91;107.39
Q24;2021;310781158;920031762;2200;2.26;;8.71;;10.97;3.75;38.18;;13.86;15.96;4.45;;1;77.2;7.5;1;8.5;0.81;9.91;107.39
Q24;2021;310781158;920031762;9999;2.26;;8.71;;10.97;3.75;38.18;;13.86;15.96;4.45;;1;77.2;7.5;1;8.5;0.81;9.91;107.39
Q24;2021;310781174;750056335;2000;1;;7.47;;8.47;1;13.37;;15.06;15.5;;;1.62;46.55;;0.5;0.5;;3.1;58.62
Q24;2021;310781174;750056335;2400;1;;7.47;;8.47;1;13.37;;15.06;15.5;;;1.62;46.55;;0.5;0.5;;3.1;58.62
Q24;2021;310781174;750056335;9999;1;;7.47;;8.47;1;13.37;;15.06;15.5;;;1.62;46.55;;0.5;0.5;;3.1;58.62
Q24;2021;310781422;310781562;2000;9.15;0.35;16.23;;25.73;;13.99;3.01;25.04;10.66;4.24;;34.09;91.03;18.35;1.57;19.92;0.12;31.53;168.33
Q24;2021;310781422;310781562;2400;9.15;0.35;16.23;;25.73;;13.99;3.01;25.04;10.66;4.24;;34.09;91.03;18.35;1.57;19.92;0.12;31.53;168.33
Q24;2021;310781422;310781562;9999;9.15;0.35;16.23;;25.73;;13.99;3.01;25.04;10.66;4.24;;34.09;91.03;18.35;1.57;19.92;0.12;31.53;168.33
Q24;2021;310781430;310788906;2000;1;;3.8;;4.8;2;5;;;;1.5;;1.5;10;;1;1;;1.01;16.81
Q24;2021;310781430;310788906;2200;1;;3.8;;4.8;2;5;;;;1.5;;1.5;10;;1;1;;1.01;16.81
Q24;2021;310781430;310788906;9999;1;;3.8;;4.8;2;5;;;;1.5;;1.5;10;;1;1;;1.01;16.81
Q24;2021;310781505;310000492;2000;2.7;1;42.67;;46.37;9.55;140.44;4.25;74.71;70.65;1.21;10.39;2.6;313.8;;;;6.47;14.32;380.96
Q24;2021;310781505;310000492;2100;2.7;1;42.67;;46.37;9.55;140.44;4.25;74.71;70.65;1.21;10.39;2.6;313.8;;;;6.47;14.32;380.96
Q24;2021;310781505;310000492;9999;2.7;1;42.67;;46.37;9.55;140.44;4.25;74.71;70.65;1.21;10.39;2.6;313.8;;;;6.47;14.32;380.96
Q24;2021;310781695;920030269;1000;2;;7.57;;9.57;;;;;;;;;;;;;1.36;11.96;22.89
Q24;2021;310781695;920030269;2000;;;;;;2;27.23;;22.64;21.06;0.72;;2.01;75.66;0.04;0.77;0.81;;;76.47
Q24;2021;310781695;920030269;2100;;;;;;0.3;4.08;;3.4;3.16;0.11;;;11.05;;0.12;0.12;;;11.17
Q24;2021;310781695;920030269;2400;;;;;;1.7;23.15;;19.24;17.9;0.61;;2.01;64.61;0.04;0.65;0.69;;;65.3
Q24;2021;310781695;920030269;9999;2;;7.57;;9.57;2;27.23;;22.64;21.06;0.72;;2.01;75.66;0.04;0.77;0.81;1.36;11.96;99.36
Q24;2021;310781984;310014378;2000;3;;11.96;;14.96;2.65;34.33;;59.36;52.33;0.71;;35.09;184.47;4.38;1.48;5.86;3.23;9.3;217.82
Q24;2021;310781984;310014378;2400;3;;11.96;;14.96;2.65;34.33;;59.36;52.33;0.71;;35.09;184.47;4.38;1.48;5.86;3.23;9.3;217.82
Q24;2021;310781984;310014378;9999;3;;11.96;;14.96;2.65;34.33;;59.36;52.33;0.71;;35.09;184.47;4.38;1.48;5.86;3.23;9.3;217.82
Q24;2021;310782016;310000617;1000;4;;23.5;;27.5;;;;;;;;;;;;;3;21.5;52
Q24;2021;310782016;310000617;2000;;;;;;6;101.2;;56;4;;;4;171.2;;2;2;;;173.2
Q24;2021;310782016;310000617;2100;;;;;;5;90.2;;41;4;;;1;141.2;;1;1;;;142.2
Q24;2021;310782016;310000617;2400;;;;;;1;11;;15;;;;3;30;;1;1;;;31
Q24;2021;310782016;310000617;9999;4;;23.5;;27.5;6;101.2;;56;4;;;4;171.2;;2;2;3;21.5;225.2
Q24;2021;310782065;310000633;2000;0.21;0.21;4.56;;4.98;0.21;0.34;;2;;0.22;;0.45;3.22;;0.32;0.32;2.1;2.24;12.86
Q24;2021;310782065;310000633;2100;0.21;0.21;4.56;;4.98;0.21;0.34;;2;;0.22;;0.45;3.22;;0.32;0.32;2.1;2.24;12.86
Q24;2021;310782065;310000633;9999;0.21;0.21;4.56;;4.98;0.21;0.34;;2;;0.22;;0.45;3.22;;0.32;0.32;2.1;2.24;12.86
Q24;2021;310782339;310781406;1000;;;2;;2;0.15;0.21;;1.39;0.11;;;0.58;2.44;0.08;;0.08;;7.6;12.12
Q24;2021;310782339;310781406;2000;;;2;;2;2.41;25.61;;33.27;9.7;0.43;;11.03;82.45;2.86;;2.86;;;87.31
Q24;2021;310782339;310781406;2100;;;;;;0.59;;;1.73;0.8;;;11.03;14.15;0.93;;0.93;;;15.08
Q24;2021;310782339;310781406;2400;;;2;;2;1.82;25.61;;31.54;8.9;0.43;;;68.3;1.93;;1.93;;;72.23
Q24;2021;310782339;310781406;9999;;;4;;4;2.56;25.82;;34.66;9.81;0.43;;11.61;84.89;2.94;;2.94;;7.6;99.43
Q24;2021;310782347;310789136;1000;5.86;1;82.67;;89.53;1.01;4.77;;;15.16;;;;20.94;;5.29;5.29;3.3;57.89;176.95
Q24;2021;310782347;310789136;2000;0.02;;105.72;;105.74;12.14;176.14;16.96;76.85;62.08;5.48;;10.87;360.52;;;;226.06;8.29;700.61
Q24;2021;310782347;310789136;2100;0.02;;105.72;;105.74;12.14;176.14;16.96;76.85;62.08;5.48;;10.87;360.52;;;;226.06;8.29;700.61
Q24;2021;310782347;310789136;9999;5.88;1;188.39;;195.27;13.15;180.91;16.96;76.85;77.24;5.48;;10.87;381.46;;5.29;5.29;229.36;66.18;877.56
Q24;2021;310782396;750056335;2000;2;;8.93;;10.93;0.9;24.06;;25.1;;1.31;;4.02;55.39;;0.95;0.95;0.89;29.05;97.21
Q24;2021;310782396;750056335;2400;2;;8.93;;10.93;0.9;24.06;;25.1;;1.31;;4.02;55.39;;0.95;0.95;0.89;29.05;97.21
Q24;2021;310782396;750056335;9999;2;;8.93;;10.93;0.9;24.06;;25.1;;1.31;;4.02;55.39;;0.95;0.95;0.89;29.05;97.21
