BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2021;010000131;010009132;2100;;;0.1;;0.1;0.22;3.62;;3.66;1.95;0.32;;0.44;10.21;;0.45;0.45;;0.09;10.85
Q24;2021;010000131;010009132;2400;;;0.78;;0.78;0.78;10.57;;8.57;2.36;0.08;;1.54;23.9;0.25;;0.25;;0.3;25.23
Q24;2021;010000131;010009132;9999;0.53;0.3;4.71;;5.54;1;14.19;;12.61;10.27;0.4;;1.98;40.45;0.25;0.45;0.7;0.5;6.77;53.96
Q24;2021;010000180;010007987;1000;0.1;;1.83;;1.93;;;;;;;;;;;;;;;1.93
Q24;2021;010000180;010007987;2000;;;;;;1;5;;5.11;6.27;2.58;;;19.96;1.66;0.8;2.46;;;22.42
Q24;2021;010000180;010007987;2100;;;;;;0.2;1;;1.11;1.27;0.57;;;4.15;0.2;0.1;0.3;;;4.45
Q24;2021;010000180;010007987;2400;;;;;;0.8;4;;4;5;2.01;;;15.81;1.46;0.7;2.16;;;17.97
Q24;2021;010000180;010007987;9999;0.1;;1.83;;1.93;1;5;;5.11;6.27;2.58;;;19.96;1.66;0.8;2.46;;;24.35
Q24;2021;010000198;010007987;1000;;;;;;;;;;;;;;;;;;;1.6;1.6
Q24;2021;010000198;010007987;2000;0.1;;4.76;;4.86;1;7.24;;8.06;14.73;;;8.94;39.97;;;;;;44.83
Q24;2021;010000198;010007987;2400;0.1;;4.76;;4.86;1;7.24;;8.06;14.73;;;8.94;39.97;;;;;;44.83
Q24;2021;010000198;010007987;9999;0.1;;4.76;;4.86;1;7.24;;8.06;14.73;;;8.94;39.97;;;;;1.6;46.43
Q24;2021;010000214;010007987;1000;;;25.9;;25.9;1;0.56;;;7.69;1;;;10.25;;;;6.93;57.33;100.41
Q24;2021;010000214;010007987;2000;0.6;;5.31;;5.91;7.5;55.58;;77.1;35.03;2.85;;15.46;193.52;;2.6;2.6;;;202.03
Q24;2021;010000214;010007987;2100;0.05;;1.25;;1.3;0.5;13.47;;20.05;5.13;0.25;;3.09;42.49;;0.4;0.4;;;44.19
Q24;2021;010000214;010007987;2400;0.55;;4.06;;4.61;7;42.11;;57.05;29.9;2.6;;12.37;151.03;;2.2;2.2;;;157.84
Q24;2021;010000214;010007987;9999;0.6;;31.21;;31.81;8.5;56.14;;77.1;42.72;3.85;;15.46;203.77;;2.6;2.6;6.93;57.33;302.44
Q24;2021;010000495;010783009;1000;9.45;;68.59;;78.04;11.31;38.75;0.44;12.21;19.98;2.41;;3.96;89.06;0.34;1.18;1.52;3.95;65.16;237.73
Q24;2021;010000495;010783009;2000;;;46.33;;46.33;38.81;374.74;2.56;89.54;75.15;59.79;;15.07;655.66;28.79;22.11;50.9;;0.04;752.93
Q24;2021;010000495;010783009;2200;;;46.33;;46.33;38.81;374.74;2.56;89.54;75.15;59.79;;15.07;655.66;28.79;22.11;50.9;;0.04;752.93
Q24;2021;010000495;010783009;9999;9.45;;114.92;;124.37;50.12;413.49;3;101.75;95.13;62.2;;19.03;744.72;29.13;23.29;52.42;3.95;65.2;990.66
Q24;2021;010002129;750056335;2000;2.04;;7.58;;9.62;2.78;18.02;;24.09;16;0.49;;10.56;71.94;;0.91;0.91;1.18;7.59;91.24
Q24;2021;010002129;750056335;2400;2.04;;7.58;;9.62;2.78;18.02;;24.09;16;0.49;;10.56;71.94;;0.91;0.91;1.18;7.59;91.24
Q24;2021;010002129;750056335;9999;2.04;;7.58;;9.62;2.78;18.02;;24.09;16;0.49;;10.56;71.94;;0.91;0.91;1.18;7.59;91.24
Q24;2021;010005239;010008407;1000;2.83;0.9;35.61;;39.34;3.91;13.04;1.68;13.33;14.75;0;2.11;3.66;52.48;1.01;0;1.01;3.46;52.59;148.88
Q24;2021;010005239;010008407;2000;0;0;30.34;;30.34;1.58;105.55;13.57;119.95;12.06;1.46;16.41;0;270.58;0.37;1;1.37;25.76;2.76;330.81
Q24;2021;010005239;010008407;2100;0;0;29.02;;29.02;1.04;94.88;13.57;98.62;5.63;1.34;16.41;0;231.49;0;1;1;25.46;1.66;288.63
Q24;2021;010005239;010008407;2300;0;0;0;;0;0;0;0;1.33;0;0;0;0;1.33;0;0;0;0;0;1.33
Q24;2021;010005239;010008407;2400;0;0;0.66;;0.66;0.05;4.74;0;8;0;0;0;0;12.79;0;0;0;0;0.55;14
Q24;2021;010005239;010008407;2500;0;0;0.66;;0.66;0.49;5.93;0;12;6.43;0.12;0;0;24.97;0.37;0;0.37;0.3;0.55;26.85
Q24;2021;010005239;010008407;9999;2.83;0.9;65.95;;69.68;5.49;118.59;15.25;133.28;26.81;1.46;18.52;3.66;323.06;1.38;1;2.38;29.22;55.35;479.69
Q24;2021;010005379;010010718;2000;;;1.03;;1.03;1;4.62;;;;0.35;;;5.97;;1;1;2.5;1;11.5
Q24;2021;010005379;010010718;2300;;;1.03;;1.03;1;4.62;;;;0.35;;;5.97;;1;1;2.5;1;11.5
Q24;2021;010005379;010010718;9999;;;1.03;;1.03;1;4.62;;;;0.35;;;5.97;;1;1;2.5;1;11.5
Q24;2021;010006526;690796552;1000;;;0.13;;0.13;;;;;;;;;;;;;;;0.13
Q24;2021;010006526;690796552;2000;;;;;;0.12;4.29;;;;;;;4.41;;;;;;4.41
Q24;2021;010006526;690796552;2100;;;;;;0.12;4.29;;;;;;;4.41;;;;;;4.41
