BOR;AN;FI;FI_EJ;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;CONSULT_EXT;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;FIL_TPL_GEN;FIL_TPL_INF;FIL_TPL_PEN;FIL_TPL_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;INTTOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRINF;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRINF;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;BIOGENSPE;MICROBIO;HEMATO;IMMUNO;GENE;ASSISTMED;ANOTO;PHARMA_A11;PHARMA_A20;PHARMA_A19;PHARMA_A26;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL
SYGEN;2021;2B0004212;130006810;;;;;;;;;;;;;;;;;;;;;2087;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;0.14;;;;;;;;0.1;;0.24;;;;;;1;2;;;3;;;;;;;;;;;;3;;0.07;;0.17;0.87;1.47;0.03;;2.61;0.16;;0.2;0.05;0.05;0.15;;;;0.15;0.71;3.32;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;2B0004584;130016058;;;;;;;;;;;;;;;;;;;;;3177;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;;;1;;1;;;;1;;;;;2;3;;;;;;0.68;;;0.68;;0.12;;;;0.2;;;;;0.32;1;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;2B0004907;2B0000020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;2B0005359;2B0005342;12;;;12;2296;0;0;2296;4023;0;0;4023;;;;;0;0;0;0;;7900;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20;17;;;1;15063;0;;;;;;0;;;;;;;;;;;;0;;0;;0;0;0;0;0;;;14;2;8;;;;;;1;;15;;;;;;;;;;;;;8.34;1.69;5.9;;;;;;0.38;;8.72;0.14;;1;;29;32;13;;1;76;1;;9;;;3;;4;;6;23;99;;1;;27.33;31.39;11.86;;1;72.58;1;;9.35;;;2.43;;5.14;;6.36;24.28;96.86;;;;;;;;;;;;1;;;;;;;;;
SYGEN;2021;2B0005409;2B0000020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;1;0;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;2B0005664;2B0005656;15;;;15;180;0;0;180;3733;0;0;3733;;;;;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21;225;0;;;;;;;;;;;;;;0;;;;;;;;;;;;1;0;0;;0;0;0;0;0;;;8;8;;;;;;;1;;9;;3;3;;;;;;;;;3;2;2;;;;;;;1;;3;;;2;;12;15;7;2;1;39;1;;3;;;;;;;;4;43;;2;;13;12;7;1;0.5;35.5;0.5;;3;;;;;;;;3.5;39;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;2B0005797;2B0005789;;;;;;;;;;;;;;;;;;;;;4081;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;2;;1;1;;;;;;;;;1;0.2;;;;;;;;0.1;;0.3;;;;;3;;2;;;5;2;;;;;;;;;;2;7;;;;3;;1.5;;;4.5;1.25;;;;;;;;;;1.25;5.75;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300000023;300780046;204;43;30;277;10844;2270;2382;15496;62078;12502;6413;80993;0;12;1;13;22;2161;0;2183;6790;94024;1;1;66;0;;66;813;0;;813;31;0;;31;16;37;;53;2336;2869;;5205;3;0;3;349;0;349;1;0;;1;2713;0;;2713;6;3;9;23765;13538;37303;2829;969;;3685;3363;1012;;4230;58;274;2777;22;;;;;1;41137;0;;1;0;0;0;1;1022;0;1127;1;188;0;0;;;;;1;6790;0;;0;0;0;0;0;0;1;109;13;24;13;24;11;10;1;8;6;158;22;;;;;;;;;;;;82.85;9.39;19.9;10.52;18.61;7.34;6.71;1;6.43;5.74;121.34;21.87;29;29;39;363;329;148;29;30;996;8;1;175;30;12;20;26;26;5;211;502;1498;28.21;21.72;35.87;336.4;303.13;128.86;23.4;24.31;901.9;7.5;1;156.4;29.84;11.77;17.11;24.24;21.47;5;198.16;460.72;1362.62;1;1;1;0;0;0;0;;;;;2;1;1;0;;;;;9;10
SYGEN;2021;300000031;300780053;134;45;29;208;5687;1353;1187;8227;36558;6679;4534;47771;15;10;1;26;1063;3006;144;4213;1258;89459;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;16;13;248;1;31029;0;;1;0;0;0;1;979;0;723;1;237;0;0;;;;;1;1258;0;;0;0;0;0;0;0;1;89;22;18;9;24;7;1;;6;2;122;31;0;;;;0;0;;;;;0;69.76;18.4;13.13;7.83;17.94;6.27;0.2;;5.01;2.01;94.92;22.43;23;13;26;172;160;92;10;11;507;3;1;134;11;8;10;17;26;3;93;298;805;19.5;10.65;24.54;163.31;149.81;83.72;5.43;8.73;465.69;3.47;1;126.35;7.58;6.19;8.99;15.7;22.65;2.91;93.7;282.35;748.04;1;1;1;0;0;0;0;;;;;2;1;2;0;;;;;8;7
SYGEN;2021;300000049;130028228;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22;210;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300000056;300780079;10;0;0;10;246;0;0;246;5391;0;0;5391;0;0;0;0;0;0;0;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;525;0;;;;5;135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;9;;;;;;;3;1;13;1;0;0;;;;;;;0;0;0;5.09;5.09;;;;;;;2.15;0.24;7.48;0.5;;4;;25;42;26;2;12;111;4;1;30;3;2;4;;;;44;86;197;;4.16;;23.42;38.52;23.04;1.36;9.5;100;3.12;1;18.91;1.08;0.98;4.01;;;;39.17;67.29;167.29;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300000064;300780087;10;;;10;276;0;0;276;3681;0;0;3681;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44;387;0;;30;13;8;101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;;;;;;;3;;9;1;;;;;;;;;;;;4.37;4.37;;;;;;;2.01;;6.38;0.4;;5;;31;66;39;4;11;156;3;;33;6;;11;;;;71;124;280;;5.28;;28.12;55.32;25.27;1.93;8.76;124.68;3;;30.42;3.01;;9.89;;;;69.06;115.38;240.06;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300000072;300780095;21;;;21;248;0;0;248;4109;0;0;4109;;;;;0;0;0;0;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;14;217;1280;5;30;17;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;3;1;9;;11;11;;;;;;;;;11;2.73;2.73;;;;;;;0.8;0.51;4.04;;;3;;16;35;28;2;7;91;1;;13;1;1;2;;;;18;35;126;;3.15;;14.39;30.67;21.98;1;5.27;76.46;1;;11.12;1;1;1.52;;;;17.56;32.2;108.66;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300000080;300780103;;;;;;;;;;;;;;;;;;;;;;;;;189;5;0;194;1919;;;1919;1123;;;1123;88;40;;128;10776;3230;;14006;;;;;;;2;;;2;12472;;;12472;9;3;13;53991;10288;65557;6169;603;;6723;7497;689;;8136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;31;1;2;;36;5;0;0;;;;;;;;;0;1.74;1.74;;;;;28.47;0.5;1.55;0.35;32.61;4.16;;20;;248;49;83;19;5;424;2;;57;33;10;6;;;;74;172;596;;19.78;;240.9;45.3;79.37;15.24;4.66;405.25;1.25;;51.52;30.93;9.14;5.2;;;;69.43;158.33;563.58;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300000387;300000387;;;;;;;;;;;;;;;;;;;;;;;;;21;;;21;93;;;93;53;;;53;10;;;10;3976;;;3976;;;;;;;;;;;;;;;;1;1;;3814;3814;;430;;430;195;430;;625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;5;;;;;;;;;;;;;;;;;;;1.55;;;;1.55;;;1;;11;1;;5;;18;4;;10;7;1;;;;;1;22;40;;0.8;;9.97;1;;4.13;;15.9;0.7;;4.63;6.41;0.91;;;;;0.57;12.31;28.21;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300000478;300781010;11;;;11;203;0;0;203;2136;0;0;2136;1;;;1;3;0;0;3;;544;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34;178;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;1;;5;;;;;;;;;;;;;2.57;2.49;;;;;;;1;;3.57;;;2;;17;33;5;;2;59;;;10;2;;2;;1;;18;33;92;;1.65;;15.68;24.18;3.91;;1.22;46.64;;;9.06;1.5;;1.22;;0.86;;15.86;28.5;75.14;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300000759;300000759;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;;;8;;8;;686;;686;;0;0;;0;0;;0;;0;;0;;0;;1;1;;5767;5767;;197;;197;;197;;197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;;;0.86;;;;;;;;;;0.86;0;;;;;;;4;3;7;2;;4;11;1;;;;;2;19;26;;;;;;;2.55;1.73;4.28;0.45;;1.6;9.06;0.5;;;;;0.48;11.59;15.87;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300002128;300000247;;;;;;;;;;;;;;;;;;;;;;;;;46;;;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89;;;89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;;1;;3;;;;;;;;;;;;;0.25;0.25;;;;;1;;0.6;;1.85;;;1;;6;6;;3;1;17;1;;3;9;1;;;;;5;18;35;;1;;5.6;4.58;;2;1;14.18;1;;3;8.52;1;;;;;4.22;16.74;30.92;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300002169;780020715;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35;256;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;1;;3;;;;;;;;;;;;;2;1;;;;;;;0.5;;2.5;;;1;;8;17;;;2;28;2;;5;;;2;;;;1;10;38;;1;;8.92;15.25;;;2;27.17;1.14;;2.86;;;0.6;;;;1;5.6;32.77;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300002508;300000213;;;;;0;0;0;0;0;0;0;0;;15;;15;0;4733;0;4733;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;11;;;4;23;2;;;;;34;;;;;;;;;0.7;;0.7;;;1;;9;3;4;;;17;1;;6;;;;;;;1;8;25;;1;;8.55;2.85;4;;;16.4;1;;6;;;;;;;1;8;24.4;;;;;;;;;;;;;;;;;;;;4;6
SYGEN;2021;300007119;340000264;;;;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;11998;1232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;2;;;;;;;;;;;;;1.23;;;;;;;;;;1.23;;;1;;22;;;;1;24;;;5;2;2;;;;2;2;11;35;;0.73;0.2;20.05;;;0.2;0.34;21.52;;0.07;2.25;0.34;0.34;;;;0.95;0.32;3.93;25.45;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300008588;940023849;;;;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;19864;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;18442;;;0;;0;;;;;;;;;;;;;;;;;1;;1;;3;;;;;;;;;;3;;;;;;;;;0.6;;0.6;;;1;;35;6;7;;;49;3;;15;;;1;;;;1;20;69;;1;;32.41;5;5.88;;;44.29;1.41;;5.5;;;0.6;;;;0.8;8.31;52.6;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300008638;940023849;;;;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;4729;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;1;;6;;;;;7;2;;9;;;;;;;1;12;19;;1;;4.99;;;;;5.99;0.1;;0.48;;;;;;;0.2;0.78;6.77;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300012309;340027937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;340;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;2;;3;;;;;;;;;;;;;1.45;0.7;;;;;;;1.17;;2.62;;;1;;3;;;1;;5;1;;4;;;2;;;;2;9;14;;0.08;;3.26;;;0.74;;4.08;0.26;;1.88;;;0.76;;;;0.94;3.84;7.92;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300012358;340015171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;816;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;4;;;;;;;1;;5;;;;;;;;;;;;;4;4;;;;;;;0.5;;4.5;;;2;;22;27;1;1;6;59;3;;13;1;1;2;;;1;9;29;88;;2;;20.31;25.76;1;0.8;5.04;54.91;2.2;;11.57;0.5;0.5;1.54;;;0.89;8.7;25.4;80.31;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300012481;300780046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;1;;;;;;;;;3;;;;;;;;;;;;;0.84;0.21;;;;;;;;;0.84;0;;2;;7;14;11;1;1;36;;;1;;;4;;;;3;8;44;;0.51;;7.57;13.39;10.81;0.08;0.05;32.41;;;0.4;;;0.21;;;;1.78;2.39;34.8;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300012499;300780046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;63;43;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;1;0;0;;;;;;;;;0;1;1;;;;;;;;;1;0.16;;1;;11;20;18;1;2;53;;;2;2;1;4;;;;2;10;63;;0.14;;11.81;18.05;18.93;0.42;0.4;49.75;;;0.93;0.54;0.18;0.36;;;;1.38;3.21;52.96;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300012598;300012580;;11;;11;0;109;0;109;0;679;0;679;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;0;;0;0;1;0;0;;;;;;;;;;;;;;;;;;;4;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2
SYGEN;2021;300013745;340027937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;1;0.3;;;;;;;;;1;;;1;;5;;;1;;7;;;2;;;;;;;;2;9;;0.48;;4.03;;;0.38;;4.89;;;0.92;;;;;;;;0.92;5.81;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300013778;300013760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;119;1248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;;;;;;;1;;7;;0;0;;;;;;;0;;0;3.42;3.42;;;;;;;0.23;;3.65;0;;1;;16;3;;1;1;22;1;;9;2;2;3;;;;1;16;38;;0.32;;12.47;0.74;;0.73;0.75;15.01;0.17;;6.85;1.43;1.43;2.13;;;;2.22;12.8;27.81;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300014040;300014024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50;415;5722;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;1;;3;;;;;;;;;;;;;1.48;1.48;;;;;;;1;;2.48;;;2;;13;14;;;7;36;1;;6;1;1;1;;;;2;11;47;;2;;11.77;11.61;;;6.72;32.1;0.92;;6.75;1;1;0.87;;;;1.76;11.3;43.4;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300017209;300000726;24;;;24;735;0;0;735;6412;0;0;6412;12;;;12;2;0;0;2;8740;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;1;8734;1;6;0;0;0;0;0;;;;;;;;;;;;;;;9;;;;;;;;;;9;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300017423;380804542;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;419;1258;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;3;;;;;;;1;;5;;;;;;;;;;;;;2.75;2.5;;;;;;;0.5;;3.25;;;2;;11;12;;2;5;32;2;;5;1;1;1;;;1;15;25;57;;1.2;;9.5;11;;1.2;4.46;27.36;0.8;;5;1;1;0.8;;;1;12.85;21.45;48.81;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300017431;340000264;;;;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;12354;996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;10819;;;0;;0;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;2.49;;;;;;;;;;2.49;;;1;;28;;;;;29;;;3;;;;;;;;3;32;;0.74;;22.23;;;0.23;0.26;23.46;;0.07;2.77;0.31;0.31;;;;0.73;0.09;3.97;27.43;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300017498;300000155;;;;;0;0;0;0;0;0;0;0;;0;;0;0;984;0;984;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08;;2.19;;;;;;;0.25;2.52;2.52;;;;;;;;;;;;;;;;;;;;2;4
SYGEN;2021;300780111;750050759;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;418;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;1;;4;;;;;;;;;;;;;2.2;2.2;;;;;;;0.8;;3;;;1;;13;17;6;1;6;44;1;;2;1;1;1;;;1;3;9;53;;1;;10.65;14;4.8;1;4.8;36.25;1;;1.5;1;1;0.3;;;0.7;3;7.5;43.75;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;300780137;920028396;51;58;;109;1679;2619;0;4298;8539;9524;0;18063;0;56;0;56;4;9616;6;9626;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;11290;0;;;;;;1;288;0;0;0;0;0;0;;;;;0;;0;;0;0;0;0;0;0;1;13;3;10;;;;;;1;1;15;;34;0;1;5;39;5;;;;;73;4.88;2.28;2.6;;;;;;1;0.25;6.13;;;4;5;68;47;4;3;2;133;5;1;30;1;1;4;;;4;6;51;184;;4;4.82;64.48;42.11;4;1.23;1.06;121.7;5;1;27.58;0.8;0.8;4;;;4;6;48.38;170.08;1;1;1;1;1;0;0;;;;;2;1;2;0;;;;;10;18
SYGEN;2021;300780152;300017985;46;106;0;152;3280;4217;0;7497;12319;18799;0;31118;8;33;;41;148;5665;0;5813;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2178;;;;;;;;;;;0;;0;;1;1;1;0;0;;;2;2;;;;;;;2;;4;;80;7;;11;32;;;;;;112;1.5;1.5;;;;;;;1.5;;3;;;6;3;129;57;76;4;1;276;3;1;26;1;1;11;;;;8;50;326;;5.9;1.8;113.7;57.3;64.87;2.37;1;246.94;3;1;22.51;0.47;0.47;9.65;;;;7.12;43.75;290.69;;;;;;;;;;;;1;1;1;1;;;;;16;24
SYGEN;2021;300780210;300000148;;;;;;;;;;;;;;;;;;;;;;;;;127;;;127;1109;;;1109;891;;;891;60;;;60;8219;;;8219;;;;;;;;;;;;;;;;;;;;;;;;;1359;;;1359;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;;;;;;;1;;6;;;;;;;;7;;;;7;3.78;3.78;;;;;;;1;;4.78;;;5;;38;9;;6;10;68;1;;21;2;1;3;;;;37;64;132;;5.76;;35.96;9;;3.23;6.57;60.52;1;;19.52;1;0.5;2.32;;;;33.25;57.09;117.61;;;;;;;;;;;;;;;;;;;;;
