BOR;AN;FI;FI_EJ;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;SEANCES_MED;CONSULT_EXT;SPED;UGER;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;FIL_TPL_GEN;FIL_TPL_INF;FIL_TPL_PEN;FIL_TPL_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;NB_CATTP_GEN;NB_CATTP_INF;NB_CATTP_PEN;NB_CATTP_TOT;ACT_CATTP_GEN;ACT_CATTP_INF;ACT_CATTP_PEN;ACT_CATTP_TOT;NB_CMP_GEN;NB_CMP_INF;NB_CMP_TOT;ACT_CMP_GEN;ACT_CMP_INF;ACT_CMP_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;PLATOT_HAD;SEJ_HAD;AUTGEN;PASSU_GEN;AUTPED;PASSU_PED;GEN;PED;ANT;SAMU;REA;SEJ_REANIM;TYPE1;SEJACC;TYPE2;SEJ_NEO;TYPE3;SEJ_REA;TRT_HEMO_CENTRE;SEAN_HEMO_CENTRE;TRT_INSUFF_REN;SEM_TRT_INSUFF_REN;CHIMIO;SEAN_CHIMIO;RTH;SEAN_RADIO;CHIRCAR;CARDIO_INT;NEUROCHIR;NEURO_INT;GREFFE;AMP;PRIS;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;INTTOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRINF;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRINF;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;BIOGENSPE;MICROBIO;HEMATO;IMMUNO;GENE;ASSISTMED;ANOTO;PHARMA_A11;PHARMA_A20;PHARMA_A19;PHARMA_A26;NB_SCAN;ACT_SCAN;NB_IRM;ACT_IRM;NB_CAM;ACT_CAM;NB_TOMO;ACT_TOMO;SAL_INTERV;POST_REVEIL
SYGEN;2021;010000214;010007987;16;0;0;16;302;0;0;302;3929;0;0;3929;;;;;0;0;0;0;;1274;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;101;936;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;7;;;;;;;2;;12;;;;;;;;;;;;;8.2;5.2;;;;;;;2;;10.2;;;9;;53;75;48;5;17;207;;;37;3;3;5;;3;;61;109;316;;8.5;;56.14;77.1;42.72;3.85;15.46;203.77;0.6;;31.21;2.6;2.6;4.25;;2.68;;57.33;98.67;302.44;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;010000495;010783009;;;;;;;;;;;;;;;;;;;;;;;;;301;11;0;312;2695;216;;2911;1745;139;;1867;77;14;;91;7104;1946;;9050;0;;0;0;;0;13;6;1;20;27546;9259;854;37659;13;12;26;85002;27462;116550;9792;2859;838;13331;11611;3141;866;15311;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;9;;;1;;43;1;5;2;62;4;;;;;;;;;;;;8.43;8.01;;;0.02;;35.15;0.18;2.81;1.58;48.17;3.9;;51;3;432;106;98;87;25;802;10;;137;57;26;5;;;;68;277;1079;;50.12;3;413.49;101.75;95.13;62.2;19.03;744.72;9.45;;114.92;52.42;23.29;3.95;;;;65.2;245.94;990.66;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;010002129;750056335;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;100;728;272;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;3;;;;;;;1;1;8;;;;;;;;;;;2;2;4.7;3.12;;;;;;;1.39;0.2;6.29;0;;3;;18;26;16;2;14;79;2;;8;2;2;1;;;;8;21;100;;2.78;;18.02;24.09;16;0.49;10.56;71.94;2.04;;7.58;0.91;0.91;1.18;;;;7.59;19.3;91.24;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;010005239;010008407;70;26;18;114;3952;1029;989;5970;21363;4302;2918;28583;7;7;1;15;1022;1383;102;2507;128;64430;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;219;0;;;;;;1;20424;0;;1;0;0;0;1;576;1;671;0;0;0;0;;;;;1;128;0;;0;0;0;0;0;0;1;42;23;1;5;16;3;;;3;3;64;1;0;0;0;0;0;0;;;0;0;0;31.14;17.86;0.01;5.2;12.34;3.14;;;2.54;3.4;49.42;0.88;19;6;17;123;146;33;4;4;352;3;1;72;3;1;12;11;9;0;62;173;525;18.52;5.49;15.25;118.59;133.28;26.81;1.46;3.66;323.06;2.83;0.9;65.95;2.38;1;10.72;10.16;7.83;0.51;55.35;156.63;479.69;1;1;1;0;0;0;0;;;;;1;0;1;;;;;;7;8
SYGEN;2021;010005379;010010718;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60;396;;;;;;;;;;;;;;;;;;;;;1;0;0;;;;;;;;;1;1;;;;;;;1;;2;;;;;;;;;;;;;1.1;1.1;;;;;;;0.5;;1.6;;;1;;5;;;1;;7;;;1;2;2;4;;;;2;9;16;;1;;4.62;;;0.35;;5.97;;;1.03;1;1;2.5;;;;1;5.53;11.5;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;010006526;690796552;;;;;;;;;;;;;;;;;;;;;2772;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;0.25;;;;;;;;;;0.25;;;0;;5;;;;;5;;;0;;;;;;;;0;5;;0.12;;4.29;;;;;4.41;;;0.13;;;;;;;;0.13;4.54;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;010007300;010007292;;;;;0;0;0;0;0;0;0;0;0;2;;2;0;2273;0;2273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;4;10;;;;;;16;;;;;;;;;;;;;;;4;4;1;;;;9;1;;2;;;;;;;;3;12;;;0.7;2.99;0.65;;;;4.34;1.13;;1.9;;;;;;;;3.03;7.37;;;;;;;;;;;;;;;;;;;;2;5
SYGEN;2021;010008852;010783009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1767;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;1;;3;;;;;;;;;;;;;1.05;1;;;;;;;0.05;;1.1;;;1;;2;;1;1;8;13;8;;11;1;1;4;;;;;24;37;;1.47;;0.6;;1;0.4;4.6;8.07;0.37;;1.23;0.78;0.78;0.15;;;;;2.53;10.6;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;010009314;010780054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;70;526;2549;13;94;53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;1;;;;;;;;;7;1;;;;;;;;;;;;5.63;1.2;;;;;;;;;5.63;1.17;;2;;36;48;13;2;12;113;1;;5;2;2;;;;;4;12;125;;2.51;;27.61;48.69;13.25;0.8;3.62;96.48;0.3;;2.46;0.52;0.52;;;;;2.74;6.02;102.5;;;;;;;;;;;;;;;;;;;;;
SYGEN;2021;010009702;010780054;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;0.35;;;;;;;;;;0.35;;;1;;6;12;3;;2;24;;;;;;;;;;;;24;;0.4;;4.8;10.53;2.6;;0.8;19.13;;;;;;;;;;;;19.13;;;;;;;;;;;;;;;;;;;;;
