NOM_COURT_GHT;CODE_GHT;NOM_COMPLET_GHT;LIT_MED;LIT_CHI;LIT_OBS;LIT_MCO;SEJHC_MED;SEJHC_CHI;SEJHC_OBS;SEJHC_MCO;JOU_MED;JOU_CHI;JOU_OBS;JOU_MCO;PLA_MED;PLA_CHI;PLA_OBS;PLA_MCO;SEJHP_MED;SEJHP_CHI;SEJHP_OBS;SEJHP_MCO;CAP_COMPLET_GEN;CAP_COMPLET_INF;CAP_COMPLET_PEN;CAP_COMPLET_TOT;CAP_HTP_GEN;CAP_HTP_INF;CAP_HTP_PEN;CAP_HTP_TOT;SEJ_HTP_GEN;SEJ_HTP_INF;SEJ_HTP_PEN;SEJ_HTP_TOT;CAP_HDJ_GEN;CAP_HDJ_INF;CAP_HDJ_PEN;CAP_HDJ_TOT;VEN_HDJ_GEN;VEN_HDJ_INF;VEN_HDJ_PEN;VEN_HDJ_TOT;CAP_HDN_GEN;CAP_HDN_INF;CAP_HDN_TOT;VEN_HDN_GEN;VEN_HDN_INF;VEN_HDN_TOT;FIL_TPL_GEN;FIL_TPL_INF;FIL_TPL_PEN;FIL_TPL_TOT;FIL_AMB_GEN;FIL_AMB_INF;FIL_AMB_PEN;FIL_AMB_TOT;FIL_TOT_GEN;FIL_TOT_INF;FIL_TOT_PEN;FIL_TOT_TOT;LIT_SSR;SEJHC_SSR;JOUHC_SSR;JOUHP_SSR;PLA_SSR;LIT_USLD;ENT;JOU_USLD;PLATOT_HAD;SEJ_HAD;JOU_HAD;FIL_HAD;BIO_B2;BIO_B3;PHARMA_A7;PHARMA_B7;PHARMA_C7;PHARMA_D7;PHARMA_E7;PHARMA_A10;PHARMA_A16_OUI;PHARMA_A17_OUI;PHARMA_A18_OUI;PHARMA_A19_OUI;PHARMA_A20_OUI;PHARMA_A16_NON;PHARMA_A17_NON;PHARMA_A18_NON;PHARMA_A19_NON;PHARMA_A20_NON;NB_SCAN;ACT_SCAN;ACTNUI_SCAN;NB_IRM;ACT_IRM;ACTNUI_IRM;NB_CAM;ACT_CAM;ACTNUI_CAM;NB_TOMO;ACT_TOMO;ACTNUI_TOMO;NB_MAMM;ACTEX_MAMM;NB_LITHO;ACT_LITHO;ACTNUI_LITHO;NB_RADIO;ACT_RADIO;ACTNUI_RADIO;NB_VASC;ACT_VASC;ACTNUI_VASC;SITES;SALCHIR;SAL24CHIR;SALOBS;SAL24OBS;SALINT;SAL24INT;SALEND;SALEND24;SALAUT;SALAUT24;SALTOT;SALTOT24;SALAMBU;SURV;SURV24;SURVAMBU;POST;POST24;POSTAMBU;BLOCS_C10;BLOCS_C11;BLOCS_C12;BLOCS_C13;BLOCS_C14;BLOCS_C15;EFFSAL_SPEMED;EFFSAL_DT_MEDGEN;EFFSAL_DT_URG;EFFSAL_DT_ANESTREA;EFFSAL_SPECHI;EFFSAL_DT_GYNOBS;EFFSAL_PSY;EFFSAL_ODON;EFFSAL_PHARMA;EFFSAL_AUT;EFFSAL_TOT;EFFLIB_SPEMED;EFFLIB_DT_MEDGEN;EFFLIB_DT_URG;EFFLIB_DT_ANESTREA;EFFLIB_SPECHI;EFFLIB_DT_GYNOBS;EFFLIB_PSY;EFFLIB_ODON;EFFLIB_PHARMA;EFFLIB_AUT;EFFLIB_TOT;ETPSAL_SPEMED;ETPSAL_DT_MEDGEN;ETPSAL_DT_URG;ETPSAL_DT_ANESTREA;ETPSAL_SPECHI;ETPSAL_DT_GYNOBS;ETPSAL_PSY;ETPSAL_ODON;ETPSAL_PHARMA;ETPSAL_AUT;ETPSAL_TOT;INTTOT;ETPINT;EFF_SAG;EFF_CAD;EFF_INFAVECSPE;EFF_INFSANSSPE;EFF_AID;EFF_ASH;EFF_PSYCHO;EFF_REEDU;EFF_SOINS;EFF_DIR;EFF_DIRINF;EFF_AUTADM;EFF_EDU;EFF_DTSOC;EFF_PERSPHARMA;EFF_PERSLABO;EFF_PERSRADIO;EFF_AUTMEDTEC;EFF_TEC;EFF_TOT_HORS_SOINS;EFF_TOT_PNM;ETP_SAG;ETP_CAD;ETP_INFAVECSPE;ETP_INFSANSSPE;ETP_AID;ETP_ASH;ETP_PSYCHO;ETP_REEDU;ETP_SOINS;ETP_DIR;ETP_DIRINF;ETP_AUTADM;ETP_EDU;ETP_DTSOC;ETP_PERSPHARMA;ETP_PERSLABO;ETP_PERSRADIO;ETP_AUTMEDTEC;ETP_TEC;ETP_TOT_HORS_SOINS;ETP_TOT_PNM;NB_ETAB;NB_CHRCHU;NB_CH;NB_CHS;NB_AUT
NA-11;75111;DEUX SÈVRES;498;144;57;699;26037;7650;3079;36766;154715;37135;11688;203538;47;40;5;92;3294;7158;671;11123;255;14;;269;220;13;;233;1658;131;;1789;126;53;;179;10137;4590;;14727;10;0;10;57;;57;1064;92;;1151;12587;3079;;15580;14174;3554;;17597;286;2666;88699;2463;12;191;113;57703;80;911;33714;561;1605244;101675;;;;;;;;;;;;;;;;;5;72820;;4;36204;;;;;;;;2;3127;;;;12;89223;;1;1815;;3;15;4;3;1;1;0;2;0;1;0;22;5;2;4;3;2;37;10;5;12971;1714;1276;294;7363;196;287;86;33;27;54;12;48;2;30;11;432;12;1;;;;;;;;;12;231.46;68.17;25.72;23.95;52.12;12.44;40.51;2;26.82;10.57;363.48;100;97.08;55;119;115;1246;1113;375;88;92;3203;17;2;616;86;43;53;68;82;28;534;1486;4689;53.28;103.36;111.8;1177.26;1028.04;342.35;70.71;78.91;2965.71;15.48;2;566.88;80.46;39.3;47.54;67.49;84.19;29.79;472.01;1365.84;4331.55;9;;9;;
NA-12;75112;VIENNE;862;289;68;1219;44577;14791;4813;64181;271259;77844;21363;370466;93;53;11;157;19901;10420;1088;31409;340;49;;389;263;27;;290;3060;746;;3806;103;104;20;227;8337;8265;6378;22980;8;;8;20;;20;1840;218;;2021;14439;2709;1260;18103;17318;3434;1484;21658;282;3622;84640;3078;12;207;159;65646;107;2551;22698;993;4531390;487304;;;;;;;;;;;;;;;;;8;49873;;7;21801;;4;7894;;2;7820;;5;4723;2;210;;16;122425;;3;2156;;9;33;4;2;1;2;1;6;;7;;50;6;1;5;2;0;45;12;0;29963;2777;3539;1352;12933;277;477;43;57;63;115;19;67;11;73;48;791;3;;;;1;;;6;;;10;392.08;43.03;44.37;56.58;89.67;17.63;65.17;4.49;61.66;35;648.07;483;629.22;91;138;158;2187;1875;603;112;133;5297;21;3;864;123;84;69;187;199;69;1110;2645;7942;84.14;141.47;152.38;2115.01;1742.91;535.46;86.32;111.27;4968.96;19.47;3;792.68;103.83;74.23;61.87;185.15;188.4;67.48;1016.34;2438.22;7407.18;6;5;;1;
NOR-01;28101;LES COLLINES DE NORMANDIE;246;33;23;302;14109;2027;1556;17692;72732;9950;5018;87700;18;12;;30;2905;3094;0;5999;40;;;40;40;;;40;366;;;366;20;;;20;2170;;;2170;;;;;;;251;;;251;3066;;;3066;3318;;;3318;100;1313;30076;0;;30;23;10493;55;505;14369;418;562330;217351;;;;;;;;;;;;;;;;;1;5667;;1;817;;;;;;;;;;;;;9;48808;;;;;2;5;1;1;1;0;0;2;0;0;0;8;2;0;1;0;0;12;0;0;4318;619;44;3;3265;45;122;30;24;10;15;7;9;2;11;5;164;7;2;0;0;1;0;;0;0;0;8;97.83;28.44;18.69;7.56;13.56;5.99;5.5;1.2;10.58;5.03;133.7;42;31.48;25;31;40;526;479;153;26;27;1307;6;1;228;19;15;26;24;23;3;211;541;1848;22.61;24.78;38.1;448.36;427.53;131.61;17.58;21.83;1132.4;5.52;0.79;203.43;16.82;13.97;23.07;21.41;22.97;3;203.97;500.98;1633.38;6;;6;;
NOR-02;28102;ORNE-PERCHE-SAOSNOIS;263;56;19;338;11894;1924;1194;15012;78399;10860;4032;93291;12;8;0;20;3810;1159;421;5390;162;7;;169;142;5;;147;1177;79;;1256;72;11;;83;5502;382;;5884;;;;;;;717;43;16;749;7143;2583;718;10535;7947;2838;734;11284;125;1363;39062;381;2;140;56;41668;;;;;915433;299196;;;;;;;;;;;;;;;;;1;13435;;1;4868;;;;;;;;2;2240;;;;11;50848;;;;;2;5;;1;;;;2;;1;;9;;0;2;;;9;;;3984;783;115;334;2488;15;198;47;49;27;30;7;27;;12;16;283;9;9;;;;;;;;;9;140.29;36.15;39.84;18.34;27.68;7;22.16;;8.97;10.55;209.65;45;35.41;22;60;41;705;676;282;68;59;1913;13;3;308;61;32;18;28;35;1;353;820;2733;20.93;51.85;38.65;623.59;558.11;220.58;51.95;44.99;1610.65;11.58;3;278.43;53.2;25.12;17.33;26.26;29.38;1;329.43;749.61;2360.26;7;;5;1;1
NOR-03;28103;COTENTIN;362;41;40;443;18341;2579;3059;23979;99845;13466;10802;124113;22;12;1;35;1158;2471;181;3810;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;90;879;30989;0;;;;;48;821;10697;331;1164767;119618;;;;;;;;;;;;;;;;;3;25593;;2;8648;;;;;;;;1;3978;;;;5;60339;;1;1702;;2;4;1;2;2;;;;;;;6;3;;2;;;10;;;5402;1404;856;12;3587;3;171;56;;11;38;9;;;8;11;228;;;;;;;;;;;;145.49;51.23;;12.31;27.38;8.59;;;7;11.01;190.88;73;73.83;49;35;76;521;522;109;14;32;1358;6;;276;18;15;20;52;52;;256;680;2038;46.18;32.56;73.9;489.53;493.98;110.23;11.4;29.14;1286.92;5.17;;257.34;14.39;12.08;17.57;47.41;51.95;;246.04;639.87;1926.79;2;;2;;
NOR-04;28104;CAUX MARITIME;224;55;29;308;10702;2522;1842;15066;64867;10630;6252;81749;24;8;0;32;2070;2445;0;4515;73;7;;80;73;0;;73;1296;;;1296;22;18;;40;93;4643;;4736;;;;;;;763;6;;769;3710;888;;4598;4505;918;;5423;116;1216;34395;1978;10;130;90;42784;;;;;163484;2289;;;;;;;;;;;;;;;;;2;18070;;2;4560;;;;;;;;1;1068;;;;3;37736;;;;;1;6;1;1;1;;;;;;;7;2;;1;;;13;;;4138;912;175;0;3608;22;140;10;37;14;28;5;17;;7;9;201;20;16;;;;;;;;11;31;107.53;5.64;17.74;13.43;21.91;5.3;14.44;;8.81;8.2;160.89;89;81.21;30;39;44;529;511;197;35;34;1419;7;2;210;41;20;25;26;34;4;177;526;1945;24.8;36.04;37.94;493.06;471.57;175.25;28.12;23.37;1290.15;6.83;1.67;194.64;31.06;13.75;20.37;23.97;31.36;3.22;151.57;464.69;1754.84;4;;4;;
NOR-05;28105;CENTRE MANCHE;309;63;29;401;14649;3227;2274;20150;90953;16990;8718;116661;20;12;0;32;1617;2667;257;4541;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;821;32351;0;;95;44;32973;45;559;14443;409;;310258;;;;;;;;;;;;;;;;;2;36547;;1;10427;;;;;;;;1;569;;;;6;42183;;1;13;;2;6;6;2;2;;;1;1;;;9;9;0;1;1;;12;12;;6164;1275;254;435;1889;23;121;13;26;15;19;6;;1;10;5;156;3;;;;;;;;;;3;100.39;11.64;24;13.5;17;5.6;;0.35;9.58;4.27;131.59;72;58.82;35;30;47;467;571;133;17;28;1328;10;;224;19;10;26;31;34;4;183;531;1859;31.56;27.5;45.4;458.75;519.39;126.97;12.6;23.84;1246.01;8.1;;213.32;16.74;9.8;23.14;31.45;31.82;4;176.58;505.15;1751.16;3;;3;;
NOR-06;28106;NORMANDIE CENTRE;1347;491;153;1991;69978;24683;9054;103715;384930;112303;37720;534953;134;108;2;244;18037;17269;545;35851;366;16;;382;356;16;;372;4083;193;;4276;248;96;6;350;18696;11911;607;31214;14;;14;207;;207;2824;92;;2916;16188;5593;1396;22953;19442;5931;1428;26559;419;4019;117502;7426;37;280;205;88742;105;1136;25426;893;6744700;665205;;;;;;;;;;;;;;;;;7;55613;;8;17183;;3;6968;;1;4399;;3;3940;;;;23;146499;;3;10051;;13;45;5;2;2;5;0;8;0;1;0;61;7;3;16;1;0;90;3;0;37902;4855;3068;1832;14527;326;740;93;75;90;183;42;97;13;78;79;1190;9;;;;7;;;;;;16;554.63;58.58;52.44;69.58;128.6;26.68;78.75;9.5;59.16;60.47;891.11;655;589.84;155;191;421;2820;2467;877;183;214;7328;31;4;1253;163;77;91;256;174;24;1284;3280;10608;137.19;177.81;386.5;2643.78;2285.05;832.32;134.74;172.24;6769.63;31.63;4.13;1140.21;132.64;64.05;73.74;241.43;163.08;22.05;1191.05;2999.96;9769.59;17;2;11;1;3
NOR-07;28107;ROUEN CŒUR DE SEINE;946;421;134;1501;64926;19744;9214;93884;294289;111198;30930;436417;110;63;6;179;26985;10736;503;38224;542;108;8;658;497;30;8;535;5091;140;241;5472;195;92;8;295;31320;11881;1223;44424;;;;;;;3485;84;132;3642;16487;7952;2000;25957;20761;8427;2191;30590;503;4068;147820;2030;16;344;107;118685;;;;;6288434;358878;;;;;;;;;;;;;;;;;5;54793;;4;18839;;;;;;;;2;2303;1;255;;16;150093;;3;4086;;6;36;4;5;3;9;1;8;0;1;0;59;8;6;7;3;2;64;26;16;27512;4898;3194;1731;8067;279;650;148;13;90;176;25;120;1;98;42;1087;;;;;;;;;;;;449.83;108.64;8.16;78.98;101.18;19.53;100.64;0.3;73.7;29.48;755.13;886;835.88;149;265;300;2763;2438;951;213;301;7380;43;4;1145;203;83;97;264;159;22;1524;3461;10841;139.17;251.52;285.47;2614.12;2282.91;869.65;166.5;201.09;6810.43;31.39;4.33;971.63;178.41;73.25;77.65;256.24;152.65;21.24;1365.4;3058.94;9869.37;13;4;7;1;1
NOR-08;28108;ESTUAIRE DE LA SEINE;650;99;96;845;35616;5734;5927;47277;198189;24780;20538;243507;45;30;6;81;5815;5333;365;11513;237;48;0;285;206;8;0;214;1896;179;22;2097;169;79;;248;9335;3033;;12368;;;;;;;1257;110;19;1384;10168;5781;594;16177;11425;5891;1191;17561;260;2648;73949;9482;39;234;136;84883;60;701;15713;568;1840255;207706;;;;;;;;;;;;;;;;;6;47853;;6;25233;;;;;;;;1;2661;;;;12;95706;;1;4146;;5;12;3;3;3;1;0;1;0;10;7;27;13;;5;;;34;;;10257;3233;1265;115;5065;81;489;128;63;32;88;25;70;18;26;26;717;;;;;;;;;;;;273.88;51.24;44.03;27.28;49.31;18.05;55.73;3.69;18.82;15.66;417.09;171;181.95;115;95;148;1660;1234;508;113;109;3982;17;2;556;101;59;53;79;110;10;726;1654;5636;106.67;89.52;141.13;1547.27;1161.32;467.67;94.52;86.24;3694.34;15.23;1.5;512.9;87.1;45.78;47.46;74.05;101.08;10.5;683.38;1533.2;5227.54;9;;8;;1
NOR-09;28109;VAL DE SEINE ET PLATEAUX DE L'EURE;231;56;36;323;15889;2308;2343;20540;77987;8399;8658;95044;13;20;3;36;1996;2575;827;5398;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155;1485;49275;1501;8;30;27;9903;30;351;7596;236;1190655;100211;;;;;;;;;;;;;;;;;2;19223;;2;4693;;;;;;;;1;440;;;;4;49931;;;;;1;7;1;1;1;0;;1;0;0;;9;2;;1;;;11;;;5694;1340;116;218;3486;63;203;68;14;23;42;17;;1;19;7;272;3;3;;;;;;;;;3;124.09;41.95;6.1;13.8;25.3;8.4;;1;13.71;4;168.1;83;83;38;42;56;448;428;161;20;39;1232;5;;282;27;21;24;37;32;;206;613;1845;32.73;30.49;52.3;407.72;386.43;136.16;12.01;25.11;1082.95;4.21;;248.44;20.68;18.21;19.98;31.24;30.57;;187.14;542.26;1625.21;4;;4;;
NOR-10;28110;EURE-SEINE PAYS D'OUCHE;511;123;84;718;26528;6745;6464;39737;147648;27941;18077;193666;37;36;0;73;4094;8060;0;12154;290;20;0;310;271;8;0;279;2353;34;0;2387;89;70;;159;4698;3946;;8644;5;;5;99;;99;1659;32;0;1681;9479;4579;558;14229;11792;4881;599;16681;155;1515;43741;0;;165;124;52047;25;218;6343;176;1256403;210364;;;;;;;;;;;;;;;;;7;44185;;4;10438;;1;;;;;;2;4565;;;;14;87577;;;;;5;13;4;4;2;1;1;7;1;0;0;25;8;0;5;2;0;33;4;0;13036;2421;285;238;7664;116;297;100;35;26;93;31;66;12;32;13;513;15;1;0;0;7;0;;;0;0;22;224.76;65.95;34.11;24.66;61.21;21.65;60.06;2.95;27.56;9.92;386.46;112;100.55;80;87;71;1259;1173;317;101;63;3151;19;2;689;76;42;54;67;77;12;514;1510;4661;72.88;83.36;69.6;1203.3;1128.05;310.55;85.71;47.42;3000.87;17.32;2.45;656.91;69.45;36.14;44.01;67.49;77.36;11.1;489.55;1435.64;4436.51;9;;7;1;1
NOR-11;28111;GROUPE HOSPITALIER MONT SAINT MICHEL;245;48;24;317;13095;3104;1715;17914;82226;14434;6531;103191;11;28;;39;758;3145;0;3903;95;;;95;91;;;91;630;;;630;67;36;;103;17092;2169;;19261;6;;6;7;;7;474;0;;474;5402;886;;6265;6194;960;;7131;196;2150;59792;0;;120;106;43002;30;385;7799;243;727224;88881;;;;;;;;;;;;;;;;;2;21615;;1;3598;;;;;;;;2;2939;;;;6;39244;;;;;2;5;1;1;1;;;3;;;;9;2;3;1;;1;12;;4;4891;873;24;13;3479;3;119;40;5;13;19;8;13;;20;2;173;14;14;;;;;;;;;14;91.7;31.29;3.22;7.55;16.2;6.5;11.63;;17.82;0.88;138.23;51;53.2;33;40;45;616;535;144;46;51;1510;18;;308;29;16;33;39;32;2;340;801;2311;26.65;39.04;43.07;566.92;503.22;139.48;28.59;36.33;1383.3;14.05;0.25;277.25;23.53;12.62;28.27;37.48;29.76;2.58;317.89;731.06;2114.36;7;;6;1;
OCC-01;76101;GHT DES CH DE PERPIGNAN-NARBONNE-LEZIGNAN-CORBIÈRES-PORT-LA-NOUVELLE-PRADES;743;171;81;995;34281;8069;5592;47942;219256;39734;20851;279841;71;30;2;103;8039;5261;1424;14724;55;0;;55;49;0;;49;594;0;;594;20;18;;38;2917;3855;;6772;0;0;0;0;0;0;364;0;;364;1308;768;;2076;1740;768;;2440;165;1498;48109;2419;16;360;191;116029;70;909;17693;581;3698114;42118;;;;;;;;;;;;;;;;;3;49318;;4;27606;;2;8846;;2;7130;;2;2222;;;;7;77583;;2;2490;;9;19;2;2;1;2;1;4;;0;;27;4;16;3;1;0;34;4;0;13433;2531;1814;505;9661;188;405;83;38;51;90;19;9;1;27;31;563;;;;;;;;;;;;313.29;57.38;27.36;47.85;74.23;14.86;9.84;0.6;24.38;27.8;450.14;134;119.14;73;81;161;1293;1193;396;49;92;3338;17;2;564;54;38;61;84;120;8;459;1369;4707;69.53;73.74;148.62;1185.88;1099.57;349.43;29.14;73.04;3028.95;16.28;1.87;529.64;40.76;29.64;56.1;80.54;109.13;8;435.87;1278.19;4307.14;9;;7;;2
OCC-02;76102;OUEST AUDOIS;320;62;36;418;17484;2906;2964;23354;93189;15648;9267;118104;21;5;3;29;3536;1716;517;5769;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69;640;16739;0;;60;37;20495;;;;;784983;84953;;;;;;;;;;;;;;;;;3;27221;;2;7492;;2;3215;;;;;2;2097;;;;6;44181;;2;1865;;2;6;;1;1;1;;3;;;;11;1;;1;;;16;;;5850;1396;1123;387;5158;63;182;33;34;22;31;10;;2;13;11;239;22;17;;;;;;;;;22;152.94;29.63;32.34;22.01;25.63;8.07;;0.9;13.18;7.51;200.16;53;49.75;46;34;54;438;433;136;15;43;1199;14;1;279;12;10;32;25;72;5;319;759;1958;41.51;34.38;52.41;430.75;426.86;131.61;10.33;34.47;1162.32;15.12;1;261.87;10.39;8.9;30.54;24.19;66.62;4.3;308.18;722.21;1884.53;5;;4;;1
OCC-03;76103;CÉVENNES GARD CAMARGUE;1001;292;119;1412;53169;13391;7460;74020;334017;65521;29079;428617;108;47;17;172;30085;12582;2722;45389;329;15;0;344;304;15;0;319;3603;175;;3778;124;101;;225;14509;8785;;23294;3;0;3;349;0;349;2129;284;;2413;12969;3350;;16157;15806;3763;;19374;556;3876;111715;15470;87;370;220;106605;26;484;11684;286;4945324;435470;;;;;;;;;;;;;;;;;8;99687;;6;35992;;2;7908;;2;6291;;3;7833;;;;13;106503;;4;8762;;7;29;8;4;2;8;2;7;2;2;1;50;15;4;7;1;1;51;10;8;30177;3755;2779;1184;16860;420;728;166;104;105;144;42;71;6;82;59;1090;18;12;;;8;4;;;0;0;26;544.92;117.84;80.05;87.51;103.41;27.76;60.26;4.17;61.02;43.11;816.89;422;349.76;102;156;274;2193;1972;949;153;255;6054;39;3;1118;169;75;132;167;199;23;1456;3306;9360;94.66;145.66;259.72;2130.22;1877.18;877.47;113.38;210.14;5708.43;37.01;3;1034.09;150.02;68.58;107.94;159.2;176.76;23.08;1386.64;3077.74;8786.17;12;3;6;1;2
OCC-04;76104;EST HÉRAULT ET SUD AVEYRON;1406;443;126;1975;62134;24113;7973;94220;380252;99787;31127;511166;206;93;22;321;29042;19307;3250;51599;302;14;;316;270;11;;281;3115;208;;3323;183;97;;280;39913;26010;;65923;2;0;2;1;;1;2095;120;;2215;13117;6442;961;20291;16379;8529;1051;25086;449;3586;107840;11436;40;437;281;140070;134;1617;43572;1127;8348992;612600;;;;;;;;;;;;;;;;;12;111341;;9;44722;;4;8105;;2;9438;;5;11502;;;;25;149738;;7;6415;;8;59;3;4;3;2;0;9;1;0;0;74;7;2;9;2;1;91;16;2;47985;4496;3985;2162;21227;858;978;131;77;167;244;41;109;67;147;79;1624;22;11;;;4;;;2;;;28;722.97;98.22;62.72;146.54;162.92;31.07;88.64;21.88;109.34;52.78;1158.53;783;742.83;150;223;721;2941;2482;973;201;354;8045;35;2;1387;182;98;121;349;287;35;1769;4167;12212;137.44;215.45;666.12;2789.35;2340.96;875.35;142.26;295.47;7462.4;36.64;2;1251.66;154.63;80.8;108.02;331.7;271.81;30.78;1603.6;3790.84;11253.24;20;6;11;;3
OCC-05;76105;OUEST HÉRAULT;349;95;25;469;17265;4658;2041;23964;100284;26675;7585;134544;27;21;4;52;2319;2388;775;5482;143;2;;145;128;;;128;1072;17;;1089;44;12;;56;14428;2832;;17260;1;;1;9;;9;1120;1;;1121;4210;1383;1230;6766;5920;1463;1261;8560;75;656;22466;0;0;173;100;55596;20;280;10038;203;884409;32140;;;;;;;;;;;;;;;;;2;23660;;2;10450;;;;;;;;1;1850;;;;7;44440;;1;1686;;2;4;4;2;1;1;1;2;2;1;0;10;8;1;2;2;1;18;18;2;6621;1206;285;870;3143;11;178;39;13;16;38;9;26;4;15;8;269;3;3;;;;;;;0;;3;136.83;28.41;11.51;15.5;32.66;8.12;24.8;1.9;11.56;6.73;214.48;68;56.16;38;46;98;701;583;279;41;58;1844;8;1;310;47;29;33;34;50;6;330;819;2663;33.88;49.21;85.96;644.6;540.51;248.62;38.02;45.73;1686.53;8.86;1;280.96;40.26;24.9;32.02;33.52;46.93;7;319.81;770.36;2456.89;5;;5;;
OCC-06;76106;LOZÈRE;155;22;12;189;4827;1554;767;7148;41174;7209;2222;50605;14;18;0;32;850;4020;0;4870;116;11;0;127;108;6;0;114;836;326;0;1162;30;24;0;54;4293;1673;0;5966;0;0;0;0;0;0;511;50;;556;2455;795;;3222;3058;957;;3932;60;434;14503;0;;85;66;23459;;;;;475565;108605;;;;;;;;;;;;;;;;;1;6875;;1;5374;;;;;;;;1;891;;;;4;17480;;;;;2;5;0;1;;1;;2;;;;9;0;0;2;0;0;15;0;0;3832;341;43;63;2607;28;50;4;23;6;16;2;13;;21;10;110;34;22;;;12;1;;;;;46;29.07;2.4;12.15;3.53;8.69;2;8.92;;10.05;7.48;64.21;6;5.53;14;33;38;353;312;122;29;33;934;13;2;173;35;6;17;19;15;2;170;446;1380;13.56;28.42;35.7;323.88;297.57;113.51;21.96;24.52;859.12;10.1;1.4;145.84;32.31;4.33;13.15;17.05;14.09;1.75;138.76;374.45;1233.57;8;;7;1;
OCC-07;76107;HAUTE-GARONNE ET TARN OUEST;1530;533;147;2210;95298;27317;10685;133300;449226;129274;41701;620201;303;93;12;408;48152;21710;2766;72628;476;50;40;566;402;42;40;484;3243;1633;320;5196;204;140;18;362;23944;15486;4281;43711;10;1;11;185;0;185;1879;207;231;2290;14805;7567;3514;25261;17675;8389;3789;29183;386;3442;109938;11320;47;313;197;100555;10;331;3424;298;6037611;679484;;;;;;;;;;;;;;;;;9;108522;;7;43434;;4;9194;;1;4735;;3;2310;1;;;27;31487;;12;733;;14;62;4;4;3;5;0;6;0;4;0;81;7;5;15;5;9;136;17;12;57569;6167;5269;2623;23160;691;1010;166;43;155;230;47;168;91;45;147;1691;14;2;;;14;;;;;;28;771.08;139.85;24.74;143.11;152.47;34.18;139.1;44.63;125.09;94.18;1326.55;1537;1444.86;185;264;667;4158;3437;694;224;383;10012;100;8;1499;299;142;137;487;289;37;2264;5120;15132;173.81;282.24;643.68;4009.36;3255.67;649.3;174.64;328.59;9517.29;93.48;8.17;1427.25;270.54;124.85;131.18;474.24;279.51;33.8;2149.68;4867.85;14385.14;16;8;6;1;1
OCC-08;76108;PYRÉNÉES ARIÉGEOISES;223;62;29;314;12708;2895;1953;17556;67491;14818;6821;89130;22;23;2;47;2804;3664;786;7254;100;14;0;114;88;7;0;95;931;94;0;1025;30;20;0;50;3255;1778;0;5033;5;0;5;0;0;0;644;107;;749;4511;1128;;5585;5206;1239;;6334;171;1565;54292;679;8;20;14;6620;45;469;6822;214;590930;70930;;;;;;;;;;;;;;;;;2;27841;;1;6946;;;;;;;;2;1738;;;;11;54119;;;;;2;9;;1;;;;2;;;;12;;0;2;;0;16;;0;7390;940;30;275;4717;47;156;16;44;24;29;11;18;1;12;16;232;4;;;;6;;;1;;;11;130.4;10.6;38.85;18.81;20.47;9.34;15.05;0.13;11.74;9.14;186.93;28;26.46;39;42;57;581;516;180;39;64;1518;12;2;266;31;24;29;41;43;7;284;715;2233;36.67;40.99;52.07;549.67;485.87;139.69;28.83;47.81;1381.6;10.06;2.58;248.38;27.62;21.12;26.44;38.59;40.96;5.16;272.05;671.84;2053.44;5;;4;;1
OCC-09;76109;HAUTES-PYRÉNÉES;365;82;19;466;18355;4928;1452;24735;92729;24130;5634;122493;22;33;2;57;4700;8503;199;13402;241;21;;262;207;14;;221;2192;256;;2448;84;69;;153;8500;7533;;16033;4;;4;67;0;67;1409;98;;1480;7966;1571;395;9839;9977;1767;395;11581;392;3395;116340;12656;41;259;176;87765;;;;;967285;29607;;;;;;;;;;;;;;;;;3;29429;;1;3703;;2;1428;;;;;1;1115;1;2;;14;67546;;1;681;;6;16;4;1;;4;;5;2;0;;26;6;;3;2;;21;9;;11684;729;894;35;5530;89;232;47;57;29;38;10;25;4;17;26;342;;;;;16;;;;;;16;206.46;40.5;51.92;28.15;30.47;7.22;23.2;2.6;15.37;19.4;297.5;67;60.23;29;89;87;1090;926;285;59;115;2680;13;5;426;79;37;49;49;55;7;555;1238;3918;27.55;89.89;82.77;1058.97;879.96;263.01;46.33;100.85;2549.33;12.37;4.1;402.7;70.18;34.13;44.46;45.36;52.62;7.35;525.84;1164.98;3714.31;10;;8;1;1
