,Editeur,titres
4249,THE ECONOMIST NEWSPAPER LIMITED,1
4248,THE ECOLOGIST FRANCE,1
4247,THE CONDE NAST PUBLICATIONS Ltd,1
4261,THE SHEPARD PRESS LTD,1
4263,THE SOCIETY OF PETROLEUM ENGINEERS,1
4264,THE SPECTATOR,1
4265,THE SPECTATOR 1828 LTD,1
4266,THE TABLET PUBLISHING COMPAGNY LIMITED,1
4267,THE WALLPAPER GROUP,1
4268,THE WILD,1
4269,THE WIRE MAGAZINE LTD,1
4270,THEATRE PUBLIC,1
4271,THERMOSTAT 6,1
4272,THINKOVERY,1
4274,THOROLD BARKER,1
4275,TI Golf Holdings Inc.,1
4276,TI RACOONTEUR,1
4278,TIMBROPRESSE,1
4279,TIME  INC. LTD,1
4281,TIME INC (UK) LTD,1
4323,UADF - AUMONERIE DES PRISONS,1
4324,UCR-CGT,1
4325,UD CFE-CGC DES ALPES MARITIMES,1
4369,UL CGT DE ROUBAIX ET ENVIRONS,1
4375,UNDERWATER WORLD PUBLICATIONS Ltd,1
4374,UNCCAS,1
4373,UNAPEI,1
4372,UNADIF,1
4371,UNABCC,1
4370,UMBERTO ALLEMANDI & CO. PUBLISHING LTD,1
4367,UKIP MEDIA & EVENTS,1
4326,UD CFTC 13,1
4366,UGM SANTE ET TRAVAIL,1
4365,UGICT-CGT,1
4364,UGICA - CFTC CADRES,1
4363,UFSE CGT,1
4362,UFICT-CGT/EDF-GDF DE HAUTE VIENNE,1
4361,UFCM-CGT,1
4376,UNEO,1
4377,UNI MEDIAS,1
4380,UNIMEO,1
4381,UNION ACADEMIQUE DE VERSAILLES DES SYNDICATS DE L'EDUCATION NATIONALE CGT (UASEN CGT),1
4382,UNION ACADEMIQUE DES SYNDICATS DE L'EDUCATION NATIONALE CGT - ACADÉMIE DE LYON,1
4383,UNION APOSTOLIQUE DU CLERGE (UAC),1
4384,UNION ARTISANALE DES PYRENEES ORIENTALES,1
4385,UNION BOUDDHISTE DE FRANCE,1
4386,UNION CONFEDERALE DES INGENIEURS ET CADRES CFDT,1
4387,UNION CONFEDERALE DES RETRAITES C.F.D.T.,1
4388,UNION CONFEDERALE DES RETRAITES CFDT,1
4389,UNION CONFEDERALE DES RETRAITES CGT,1
4390,UNION CONFEDERALE DES RETRAITES FORCE OUVRIERE,1
4391,UNION DE L'EGLISE EVANGELIQUE METHODISTE DE FRANCE (UEEMF),1
4392,UNION DE LA NOBLESSE RUSSE,1
4393,UNION DE MUTUELLES PAVILLON DE LA MUTUALITE PREVOYANCE,1
4394,UNION DEPARTEMENTALE  DES SYNDICATS CFDT DES ARDENNES,1
4360,UFC-QUE CHOISIR DE LA VIENNE,1
4359,UFC-QUE CHOISIR DE CÔTE D'OR,1
4358,UFC-QUE CHOISIR 71,1
4341,UD FO DE LA CHARENTE MARITIME,1
4327,UD CGT 77,1
4328,UD CGT DE L'ALLIER,1
4329,UD CGT DE L'YONNE,1
4330,UD CGT DE MAINE ET LOIRE,1
4331,UD CGT DU CALVADOS,1
4332,UD CGT DU LOT - UNION DÉPARTEMENTALE DES SYNDICATS CONFÉDÉRÉS DU LOT  CGT,1
4333,UD CGT VAL DE MARNE,1
4334,UD CGT de la vienne,1
4335,UD DE LA CONFEDERATION SYNDICALE DES FAMILLES DE L'AIN,1
4336,UD DE LA MOSELLE  CLCV,1
4337,UD DES SYNDICATS CGT DE L'ARIEGE,1
4338,UD DES SYNDICATS CGT FO DES ARDENNES,1
4339,UD DES SYNDICATS FO DE SAVOIE,1
4340,UD FO,1
4342,UD FO DES PYRENEES ATLANTIQUES,1
4357,UFC UNION FEDERALE DES CONSOMMATEURS-QUE CHOISIR,1
4343,UD UNSA DEPARTEMENT DE LA  NIEVRE,1
4344,UD-CFDT MEUSE,1
4345,UDAF DE LA MANCHE,1
4346,UDAF DES VOSGES,1
4347,UDI-CGT,1
4348,UFC - QUE CHOISIR REGION LILLE,1
4349,UFC - QUE CHOISIR ST BRIEUC ET ENVIRONS,1
4350,UFC QUE CHOISIR CHARENTE,1
4351,UFC QUE CHOISIR DE  NANTES,1
4352,UFC QUE CHOISIR DE CHARENTE MARITIME,1
4353,UFC QUE CHOISIR DE LA NIEVRE,1
4354,UFC QUE CHOISIR DE LA ROCHE SUR YON,1
4355,UFC QUE CHOISIR DU HAUT-RHIN,1
4356,UFC QUE CHOISIR DU PUY-DE-DÔME,1
4245,THE CONDE NAST PUBLICATIONS LIMITED,1
4243,THE CONDE NAST,1
4097,SYNDICAT FORCE OUVRIERE DU PERSONNEL DES ORGANISMES SOCIAUX DIVERS ET DIVERS DE LA REGION PARISIENNE,1
4143,SYNDICAT NATIONAL DES JOURNALISTES - SECTION ILE DE France,1
4149,SYNDICAT NATIONAL DES PERSONNELS DE L'EDUCATION SURVEILLEE/PROTECTION JUDICIAIRE DE LA JEUNESSE (SNPES-PJJ/FSU),1
4148,SYNDICAT NATIONAL DES PERSONNELS DE DIRECTION DE L'EDUCATION NATIONALE - SNPDEN,1
4147,SYNDICAT NATIONAL DES PERSONNELS D'INSPECTION SNPI- FSU,1
4146,SYNDICAT NATIONAL DES PERSONNELS ADMINISTRATIFS DE L'OFFICE NATIONAL DES FORETS,1
4145,SYNDICAT NATIONAL DES LYCEES ET COLLEGES,1
4144,SYNDICAT NATIONAL DES JOURNALISTES CGT,1
4142,SYNDICAT NATIONAL DES JOURNALISTES (SNJ),1
4133,SYNDICAT NATIONAL DES CHERCHEURS SCIENTIFIQUES (SNCS-FSU),1
4141,SYNDICAT NATIONAL DES INGENIEURS DES TRAVAUX PUBLICS DE L'ETAT ET DES COLLECTIVITES TERRITORIALES FO - SNITPECT -FO,1
4140,SYNDICAT NATIONAL DES INFIRMIER(E)S CONSEILLER(E)S DE SANTE (SNICS),1
4139,SYNDICAT NATIONAL DES ENSEIGNEMENTS DE SECOND DEGRE (SNES) - FSU,1
4138,SYNDICAT NATIONAL DES ENSEIGNEMENTS DE SECOND DEGRE  S.N.E.S.,1
4137,SYNDICAT NATIONAL DES ENSEIGNANTS DU SECOND DEGRE/SECTION ACADEMIQUE DE VERSAILLES,1
4136,SYNDICAT NATIONAL DES ENSEIGNANTS DU SECOND DEGRE CLASSIQUE MODERNE TECHNIQUE - S3 DE PARIS,1
4150,SYNDICAT NATIONAL DES PERSONNELS DE PREFECTURE FORCE OUVRIERE,1
4151,SYNDICAT NATIONAL DES PERSONNELS DE RECHERCHE ET DES ETABLISSEMENTS D'ENSEIGNEMENT SUPERIEUR (SNPREES-FO),1
4152,SYNDICAT NATIONAL DES PILOTES DE LIGNE,1
4153,SYNDICAT NATIONAL DES PROFESSIONNELS DU THEATRE ET DES ACTIVITES CULTURELLES - CGT,1
4154,SYNDICAT NATIONAL DES PSYCHOLOGUES,1
4155,SYNDICAT NATIONAL DES SAPEURS-POMPIERS PROFESSIONNELS (SNSPP-PATS),1
4156,SYNDICAT NATIONAL DES TECHNICIENS SUPERIEURS  DES SERVICES DU MINISTERE CHARGE DE L'AGRICULTURE,1
4157,SYNDICAT NATIONAL DES TRAVAILLEURS DE LA RECHERCHE SCIENTIFIQUE CGT,1
4158,SYNDICAT NATIONAL DU COMMERCE DE L'ANTIQUITE ET DE L'OCCASION & DES GALERIES D'ART MODERNE ET CONTEMPORAINE ( SNCAO - GA ),1
4159,SYNDICAT NATIONAL DU PERSONNEL TECHNIQUE DE L'ENSEIGNEMENT SUPERIEUR ET DE LA RECHERCHE,1
4160,SYNDICAT NATIONAL FO DES LYCEES ET COLLEGES - SECTION DEPARTEMENTALE DU VAL DE MARNE,1
4161,SYNDICAT NATIONAL FO DES LYCEES ET COLLEGES - SNFOLC,1
4162,SYNDICAT NATIONAL FORCE OUVRIERE DES FINANCES PUBLIQUES,1
4164,SYNDICAT NATIONAL FORCE OUVRIERE DES LYCEES ET COLLEGES - SNFOLC -,1
4165,SYNDICAT NATIONAL FORCE OUVRIERE DES LYCEES ET COLLEGES CÔTES D'ARMOR,1
4166,SYNDICAT NATIONAL FORCE OUVRIERE DES LYCEES ET COLLEGES DE L'OISE,1
4167,"SYNDICAT NATIONAL FORCE OUVRIERE DES LYCEES ET COLLEGES HAUTE-LOIRE "" SN. FO. LC HAUTE LOIRE """,1
4135,SYNDICAT NATIONAL DES ECOLES,1
4132,SYNDICAT NATIONAL DES CADRES DES DOUANES,1
4242,THE CHELSEA MAGAZINE COMPANY LTD,1
4106,SYNDICAT GENERAL FORCE OUVRIERE DE LA PHARMACIE NORD - PAS-DE-CALAIS,1
4112,SYNDICAT INTERDIOCESAIN DE PRÊTRES SÉCULIERS SIPS,1
4111,SYNDICAT INTERCORPORATIF DE LA REGION TOULOUSAINE CNT AIT,1
4110,SYNDICAT INTERCO CFDT MEURTHE ET MOSELLE,1
4109,SYNDICAT INTERCO CFDT DES COTES D'ARMOR,1
4108,SYNDICAT INDEPENDANT ACADEMIQUE DE L'ENSEIGNEMENT SECONDAIRE AIX-MARSEILLE,1
4107,SYNDICAT GENERAL FORCE OUVRIERE DES PERSONNELS DES MINES ET ASSIMILES,1
4105,SYNDICAT GENERAL DU PERSONNEL MUNICIPAL CGT DE LA VILLE DE LYON,1
4131,SYNDICAT NATIONAL DES CADRES D'ENTREPRISES AGRICOLES (SNCEA),1
4104,SYNDICAT GENERAL DES VIGNERONS REUNIS DES COTES DU RHONE,1
4103,SYNDICAT GENERAL DES VIGNERONS DE LA CHAMPAGNE,1
4102,SYNDICAT GENERAL DES TRANSPORTS DES REMONTEES MECANIQUES ET SERVICES DES PISTES DES ALPES DU NORD CGT,1
4101,SYNDICAT GENERAL DE L'EDUCATION NATIONALE - CFDT DE L'ACADEMIE DE NICE,1
4100,SYNDICAT FRANCILIEN CFDT DES AGENTS DE LA SECURITE SOCIALE (SFASS-CFDT),1
4099,SYNDICAT FRANCAIS DES ARTISTES INTERPRETES,1
4113,SYNDICAT NATIONAL CGT DES OUVRIERS DES PARCS ET ATELIERS DE L'EQUIPEMENT ET DE L'ENVIRONNEMENT,1
4114,SYNDICAT NATIONAL CGT DES PERSONNELS TECHNIQUES DES RESEAUX ET INFRASTRUCTURES,1
4115,"SYNDICAT NATIONAL DE L'ADMINISTRATION SCOLAIRE, UNIVERSITAIRE ET DES BIBLIOTHÈQUES (SNASUB)",1
4116,SYNDICAT NATIONAL DE L'EDUCATION PHYSIQUE - FSU,1
4117,SYNDICAT NATIONAL DE L'EDUCATION PHYSIQUE DE L'ENSEIGNEMENT PUBLIC (FSU),1
4119,SYNDICAT NATIONAL DE L'EDUCATION PHYSIQUE DE L'ENSEIGNEMENT PUBLIC (SNEP) - SECTION ACADÉMIQUE DE DIJON,1
4120,SYNDICAT NATIONAL DE L'EDUCATION PHYSIQUE DE L'ENSEIGNEMENT PUBLIC (SNEP-FSU 93),1
4121,SYNDICAT NATIONAL DE L'EDUCATION PHYSIQUE DE L'ENSEIGNEMENT PUBLIQUE - SNEP,1
4122,SYNDICAT NATIONAL DE L'ENSEIGNEMENT CHRETIEN (SNEC ) - CFTC,1
4123,SYNDICAT NATIONAL DE L'ENSEIGNEMENT CHRETIEN (SNEC-CFTC) PICARDIE,1
4124,SYNDICAT NATIONAL DE L'ENSEIGNEMENT ET DE LA RECHERCHE DU MINISTERE CHARGE DE L'AGRICULTURE FORCE OUVRIERE (SNERMA-FO),1
4125,SYNDICAT NATIONAL DE L'ENSEIGNEMENT SUPERIEUR - FSU,1
4126,SYNDICAT NATIONAL DE L'ENSEIGNEMENT TECHNIQUE ET PROFESSIONNEL ET DES PERSONNELS D'EDUCATION - ACTION  AUTONOME - (SNETAA),1
4127,SYNDICAT NATIONAL DE LA BANQUE ET DU CREDIT BNP PARIBAS - S.N.B. - C.F.E./C.G.C.,1
4128,"SYNDICAT NATIONAL DE LA METALURGIE AERONAUTIQUE, ESPACE ET DEFENSE CFE-CGC - "" SNCTAA """,1
4129,SYNDICAT NATIONAL DES ACTIVITES PHYSIQUES ET SPORTIVES (SNAPS ),1
4130,SYNDICAT NATIONAL DES AGENTS FORESTIERS - UNSA - FORETS,1
4168,SYNDICAT NATIONAL INDEPENDANT DE LA RECHERCHE SCIENTIFIQUE (S.N.I.R.S) - CFE-CGC,1
4169,SYNDICAT NATIONAL LIBRE DES ARTISTES - FO,1
4170,SYNDICAT NATIONAL PENITENTIAIRE FORCE OUVRIERE,1
4216,TECHNOPRESSE,1
4222,TEN - The Enthusiast Network,1
4221,TEMPS PRESENT,1
4220,TELERAMA,1
4219,TELEGRAPH MEDIA GROUP LTD,1
4218,TELEGRAAF TIJDSCHRIFTEN GROEP,1
4217,TELECOM PRESSE,1
4214,TECHNIQUES PRO MEDIA,1
4171,SYNDICAT NATIONAL SOLIDAIRES FINANCES PUBLIQUES,1
4213,TECHNIQUE PRO MEDIA - TPMA,1
4212,TECHNIP & OPHRYS EDITIONS,1
4211,TCOLONDON PUBLISHING,1
4210,TB & A EDITIONS,1
4209,TATOUVU,1
4208,TATLER PUBLISHING COMPANY Ltd,1
4223,TENNIS TEAM AGENCY,1
4224,TERRE DE VIE,1
4225,TERRE DE VIGNES,1
4226,TERRE DE VINS,1
4227,TERRE ECOS,1
4228,TERRE VIVANTE,1
4229,TERRES ARDENNAISES,1
4230,TERRES TAURINES,1
4232,TERROMAG,1
4233,TETE A TETE  COMMUNICATION,1
4234,TFD  MEDIAS,1
4235,TFD - MEDIAS,1
4236,TFI - VERLAGSGESELLSCHAFT MBH,1
4238,THE AMERICAN INTEREST LLC.,1
4239,THE ATLANTIC MONTHLY GROUP,1
4240,THE BRITISH FILM INSTITUTE ( BFI ),1
4241,THE CHELSEA MAGAZINE COMPAGNY LTD,1
4207,TARN MEDIAS,1
4206,TANK PUBLICATIONS LTD,1
4205,TANK,1
4187,SYNDICAT SUD EDUCATION DE L'ORNE,1
4172,SYNDICAT NATIONAL SUD EDUCATION,1
4174,SYNDICAT NATIONAL UNIFIE DES PERSONNELS DES FORETS ET DE L'ESPACE NATUREL CFDT - REGION FRANCHE-COMTE (SNUPFEN),1
4175,SYNDICAT NATIONAL UNITAIRE DE L'ENSEIGNEMENT PROFESSIONNEL,1
4176,SYNDICAT NATIONAL UNITAIRE DES INSTITUTEURS DES PROFESSEURS D'ECOLE ET DES PEGC D'EURE ET LOIR,1
4177,SYNDICAT NATIONAL UNITAIRE DES INSTITUTEURS PROFESSEURS DES ECOLES ET PEGC SECTION DES BOUCHES DU RHONE,1
4178,"SYNDICAT NATIONAL UNITAIRE DES INSTITUTEURS, PROFESSEURS D'ÉCOLE ET PEGC DE LA VIENNE-SNUIPP DE LA VIENNE",1
4179,SYNDICAT NATIONAL UNITAIRE INSTITUTEURS PROFESSEURS DES ECOLES P.E.G.C - SECTION DE SEINE SAINT DENIS,1
4180,"SYNDICAT NATIONAL UNITAIRE INSTITUTEURS, PROFESSEURS D'ÉCOLE ET PEGC (SNUIPP) 66",1
4181,SYNDICAT PROFESSIONNEL DE L'ENSEIGNEMENT LIBRE CATHOLIQUE  DES CÔTES D'ARMOR (SPELC),1
4182,SYNDICAT PROFESSIONNEL DE L'ENSEIGNEMENT LIBRE CATHOLIQUE D'ILE ET VILAINE,1
4183,SYNDICAT SE- UNSA,1
4184,SYNDICAT SUD EDUCATION 35 SOLIDAIRES,1
4185,SYNDICAT SUD EDUCATION 83,1
4186,SYNDICAT SUD EDUCATION AISNE,1
4188,SYNDICAT SUD EDUCATION HAUTE NORMANDIE,1
4204,TANGRAM FINANCE,1
4189,SYNDICAT SUD EDUCATION MANCHE,1
4190,SYNDICAT SUD EDUCATION PAYS DE LOIRE- ATLANTIQUE,1
4191,SYNDICAT SUD-RAIL DE PARIS SAINT-LAZARE,1
4192,SYNERGIE OFFICIERS,1
4193,SYNPA-FO,1
4194,SYSTEM PRESS EDITION,1
4195,SYSTEMS DESIGN LIMITED,1
4196,Sanoma Media Belgium NV,1
4197,Secteur federal cgt des cheminots du territoire geographique de la région sncf de lyon,1
4198,Société de Création et d'Exploitation de Périodiques,1
4199,Sport & Sponsoring Media Group,1
4200,T3 FUTURE,1
4201,TACK PRESS LIMITED,1
4202,TAEKWENDO CHOC,1
4395,UNION DEPARTEMENTALE CFDT D'ILLE-ET-VILLAINE,1
4396,UNION DEPARTEMENTALE CFDT DU GARD,1
4397,UNION DEPARTEMENTALE CFDT DU TARN,1
4582,UNITE ET ACTION 93,1
4588,UNSA-ferroviaire,1
4587,UNSA SERVICES JUDICIAIRES,1
4586,UNSA INTERIEUR ATS,1
4585,UNSA EDUCATION,1
4584,UNSA,1
4583,UNITE SGP POLICE FORCE OUVRIERE,1
4581,UNIOPSS,1
4573,UNION TERRITORIALE DES RETRAITES ET PRERETRAITES CFDT DU RHÔNE (UTR 69 CFDT),1
4580,UNION VALDOTAINE DE PARIS,1
4579,UNION TOURISTIQUE LES AMIS DE LA NATURE FEDERATION FRANCAISE (F.F.U.T.A.N.),1
4578,UNION TERRITORIALE INTERPROFESSIONNELLE DES RETRAITES CFDT D'EURE ET LOIR,1
4577,UNION TERRITORIALE INTERPROFESSIONNELLE CFDT LOIRE-HAUTE-LOIRE,1
4576,UNION TERRITORIALE DES RETRAITÉS (UTR)  ET PRERETRAITES CFDT DE LA MOSELLE (U.D.I.R.),1
4575,UNION TERRITORIALE DES RETRAITES UTR CFDT DROME ARDECHE,1
4589,UP' EDITIONS,1
4590,UR CFTC D'ALSACE,1
4591,URI CFDT LIMOUSIN,1
4592,URSEN CGT ROUEN,1
4593,US WEEKLY LLC,1
4594,USBEK ET RICA,1
4595,USKALZAIN,1
4596,USR CGT VAUCLUSE,1
4597,UT OMNES,1
4598,UTI  CFDT ALSACE,1
4599,Union nationale des aveugles et déficients visuels  UNADEV,1
4600,V MAGAZINE,1
4601,VACARME,1
4602,VACCANGE EDITIONS,1
4603,VAGATOR PRODUCTIONS,1
4605,VAKMEDIANET,1
4606,VAL DE MARNE INFOS MULTIMEDIA EDITIONS,1
4574,UNION TERRITORIALE DES RETRAITES METROPOLE LILLOISE,1
4572,UNION TERRITORIALE DES RETRAITES ET PRERETRAITES CFDT DE HAUTE - GARONNE/ARIEGE - UTR CFDT 31/09,1
4398,UNION DEPARTEMENTALE CGT 28,1
4547,UNION REGIONALE CONSTRUCTION BOIS AMEUBLEMENT CGT AUVERGNE,1
4553,UNION REGIONALE INTERPROFESSIONNELLE DES SYNDICATS CFDT D'ILE-DE-France,1
4552,UNION REGIONALE INTERPROFESSIONNELLE DES SYNDICATS CFDT D'ILE-DE-FRANCE,1
4551,UNION REGIONALE INTERPROFESSIONNELLE CFDT AQUITAINE,1
4550,UNION REGIONALE INTERPROFESSIONNEL CFDT BRETAGNE,1
4549,UNION REGIONALE DES SYNDICATS FORCE OUVRIERE DE BOURGOGNE,1
4548,UNION REGIONALE DES SYNDICATS DE L'EDUCATION NATIONALE ACADEMIE DE NANTES,1
4546,UNION REGIONALE CGT D'ILE DE FRANCE,1
4571,UNION TERRITORIALE DES RETRAITES ET PRERETRAITES CFDT DE CÔTE D'OR (UTR CFDT 21),1
4544,UNION PRESSE,1
4543,UNION PACIFISTE DE France,1
4542,UNION ORNITHOLOGIQUE DE FRANCE,1
4541,UNION NATIONALE DES SYNDICATS DE L'EDUCATION NATIONALE CGT - CGT EDUC'ACTION,1
4540,UNION NATIONALE DES SYNDICATS AUTONOMES AGRICULTURE AGROALIMENTAIRE,1
4539,UNION NATIONALE DES SYNDICATS AUTONOMES (UNSA),1
4554,UNION REGIONALE INTERPROFESSIONNELLE DES SYNDICATS CFDT FRANCHE-COMTÉ,1
4555,UNION SAINTE CECILE,1
4556,UNION SOCIALE D'INGENIEURS CATHOLIQUES (USIC),1
4557,UNION SYNDICALE CGT DE LA RATP,1
4558,UNION SYNDICALE CGT DES FONCTIONNAIRES ET DES SALARIES DES SERVICES PUBLICS TERRITORIAUX DE PARIS,1
4559,UNION SYNDICALE CGT DES FONCTIONNAIRES ET DES SALARIÉS DES SERVICES PUBLICS TERRITORIAUX DE PARIS ( ACTIFS ET RETRAITÉS ),1
4560,UNION SYNDICALE DE LA CONSTRUCTION CGT DE LOIRE-ATLANTIQUE,1
4561,UNION SYNDICALE DES MAGISTRATS (USM),1
4562,UNION SYNDICALE DES RETRAITES CGT DE LA DROME,1
4563,UNION SYNDICALE DES RETRAITES CGT DE LA HAUTE-VIENNE,1
4564,UNION SYNDICALE DES RETRAITES CGT DU CANTAL,1
4565,UNION SYNDICALE DES RETRAITES CGT DU MAINE ET LOIRE,1
4566,UNION SYNDICALE DES RETRAITES CGT DU RHONE,1
4567,UNION SYNDICALE DES RETRAITES CGT DU VAR,1
4568,UNION SYNDICALE SOLIDAIRES,1
4569,UNION TERRITORIALE DES RETRAITES CFDT DE SEINE ET MARNE,1
4570,UNION TERRITORIALE DES RETRAITES DU DOUBS,1
4608,VALMONDE ET CIE - COMPAGNIE FRANCAISE DE JOURNAUX,1
4611,VEA,1
4612,VECERNJI LIST D.D.,1
4667,WOODENBOAT PUBLICATIONS INC,1
4675,YOSEI PRESS,1
4674,YJ France MEDIA,1
4673,YACHTING EDITIONS,1
4672,WZV WESTDEUTSCHE ZEITSCHRIFTENVERLAG GMBH,1
4671,WWF France FONDATION,1
4670,WORLD OF GOLF,1
4665,WIRELY,1
4613,VEILLEES RABASTINOISES,1
4664,WINKONTENT LTD,1
4663,WILDFIRE MEDIA,1
4661,WENNER MEDIA LLC,1
4660,WEBERG MEDIA GROUP INC,1
4659,WE DEMAIN,1
4657,WATERFALL,1
4677,ZEITVERLAG GERD BUCERIUS GMBH & CO KG,1
4678,ZOO MAGAZINE,1
4679,association pour le developpement de l'information et de l'edition du pays d'apt,1
4680,centre pour le developpement de l'information sur la formation permanente -  CENTRE  INFFO,1
4681,cfdt presse,1
4682,federation française de la course landaise,1
4683,hearst magazines,1
4684,kirsty tyler,1
4685,l'UNION SOCIALE POUR L'HABITAT,1
4686,mazrekaj media,1
4687,play lifestyle media SRL,1
4688,syndicat cgt du conseil régional de haute - normandie,1
4689,union departementale des syndicats cgt-fo de l'isère,1
4690,usr-cgt 33,1
4691,wuv publications inc,1
4692,ÉDITIONS LARIVIÈRE,1
4693,ÖKO TEST VERLAG GMBH,1
4656,WANSQUARE,1
4655,WAHED MAGAZINE,1
4654,WADDELL LIMITED,1
4633,VF  VERLAGSGESELLSCHAFT MBH,1
4614,VELVET,1
4615,VENERIE,1
4616,VENT DE TERRE,1
4617,VENTS DU MORVAN,1
4618,VERLAG DAS BESTE GMBH,1
4619,VERLAG HEINRICH BAUER VERTRIEBS KG,1
4620,VERLAG MODERNE INDUSTRIE GMBH,1
4621,VERLAG STERN MEDIEN GMBH,1
4624,VERLAGSANSTALT ALEXANDER KOCH GMBH,1
4625,VERNET PATRICE,1
4626,VERON & COMPAGNIE,1
4628,VERRE PRESSE SERVICES,1
4629,VERRE PRESSE SERVICES (VPS),1
4632,VERSO,1
4635,VGB EDITIONS,1
4653,VSD,1
4636,VIASANTE MUTUELLE,1
4637,VICE PROVINCE DES MISSIONNAIRES OBLATS DE MARIE IMMACULEE EN FRANCE ET BENELUX,1
4639,VINCENTZ NETWORK GMBH & CO,1
4640,VIP INTERNATIONAL,1
4641,VISION ET RECHERCHE,1
4643,VISION PLURIELLE,1
4645,VISUAL TALENT LTD,1
4646,VIVRE & AIMER,1
4647,VIVRE EN HARMONIE,1
4648,VOIR ENSEMBLE,1
4649,VOITURE ECOLOGIQUE,1
4650,VOLTA SPORTS,1
4651,VOTRE BEAUTE,1
4652,VPW,1
4538,UNION NATIONALE DES SOUS OFFICIERS EN RETRAITE  ( UNSOR ),1
4537,UNION NATIONALE DES RETRAITES ET PERSONNES AGEES,1
4536,UNION NATIONALE DES RETRAITES ET PENSIONNES (UNAR - CFTC),1
4440,UNION DEPARTEMENTALE DES SYNDICATS CGT-FO DE LA CORREZE,1
4446,UNION DEPARTEMENTALE DES SYNDICATS CONFEDERES CGT DE LOT ET GARONNE,1
4445,UNION DEPARTEMENTALE DES SYNDICATS CONFEDERES CGT DE LA DORDOGNE,1
4444,UNION DEPARTEMENTALE DES SYNDICATS CONFEDERES C.G.T. DE L'AIN,1
4443,UNION DEPARTEMENTALE DES SYNDICATS CONFEDERE  CGT CÔTE D'OR,1
4442,UNION DEPARTEMENTALE DES SYNDICATS CGT-FORCE OUVRIERE DE SAONE-ET-LOIRE,1
4441,UNION DEPARTEMENTALE DES SYNDICATS CGT-FORCE OUVRIERE DE PARIS,1
4439,UNION DEPARTEMENTALE DES SYNDICATS CGT FORCE OUVRIERE DU MORBIHAN,1
4467,UNION DES CERCLES GENEALOGIQUES ET HERALDIQUES DE NORMANDIE,1
4438,UNION DEPARTEMENTALE DES SYNDICATS CGT FORCE OUVRIERE DU DOUBS,1
4437,UNION DEPARTEMENTALE DES SYNDICATS CGT FORCE OUVRIERE DE LOIRE ATLANTIQUE,1
4436,UNION DEPARTEMENTALE DES SYNDICATS CGT DU VAL D'OISE,1
4435,UNION DEPARTEMENTALE DES SYNDICATS CGT DU TERRITOIRE DE BELFORT,1
4434,UNION DEPARTEMENTALE DES SYNDICATS CGT DU TARN ET GARONNE,1
4433,UNION DEPARTEMENTALE DES SYNDICATS CGT DU NORD,1
4447,UNION DEPARTEMENTALE DES SYNDICATS CONFEDERES CGT FORCE OUVRIERE DE LA MANCHE,1
4448,UNION DEPARTEMENTALE DES SYNDICATS CONFEDERES CGT-FO FINISTERE,1
4449,UNION DEPARTEMENTALE DES SYNDICATS CONFEDERES DES PYRENEES-ORIENTALES,1
4450,UNION DEPARTEMENTALE DES SYNDICATS CONFEDERES DU PAS-DE-CALAIS,1
4451,UNION DEPARTEMENTALE DES SYNDICATS CONFEDERES FORCE OUVRIERE DE L'EURE,1
4453,UNION DEPARTEMENTALE DES SYNDICATS DU NORD FORCE OUVRIERE,1
4454,UNION DEPARTEMENTALE DES SYNDICATS FORCE OUVRIERE D'ILLE ET VILAINE,1
4455,UNION DEPARTEMENTALE DES SYNDICATS FORCE OUVRIERE DE LA HAUTE-LOIRE,1
4456,UNION DEPARTEMENTALE DES SYNDICATS FORCE OUVRIERE DE LOT-ET-GARONNE,1
4457,UNION DEPARTEMENTALE DES SYNDICATS FORCE OUVRIERE DE MAINE ET LOIRE,1
4458,UNION DEPARTEMENTALE DES SYNDICATS FORCE OUVRIERE DU PAS DE CALAIS,1
4459,UNION DEPARTEMENTALE DES SYNDICATS FORCE OVRIERE,1
4460,UNION DEPARTEMENTALE FORCE OUVRIERE DE L'ESSONNE,1
4461,UNION DEPARTEMENTALE FORCE OUVRIERE DU GERS,1
4462,UNION DEPARTEMENTALE des syndicats CGT DE L'ESSONNE,1
4463,UNION DES ASSOCIATIONS D'AUDITEURS DE L'INSTITUT DES HAUTES ETUDES DE DEFENSE NATIONALE -  UNION IHEDN,1
4465,UNION DES BLESSES DE LA FACE ET DE LA TETE,1
4432,UNION DEPARTEMENTALE DES SYNDICATS CGT DU JURA,1
4431,UNION DEPARTEMENTALE DES SYNDICATS CGT DU CHER,1
4430,UNION DEPARTEMENTALE DES SYNDICATS CGT DES HAUTES-PYRENEES,1
4413,UNION DEPARTEMENTALE DES SYNDICATS CFDT DE LA SEINE SAINT-DENIS,1
4399,UNION DEPARTEMENTALE CGT DE L'HERAULT,1
4400,UNION DEPARTEMENTALE CGT DE LA CHARENTE,1
4401,UNION DEPARTEMENTALE CGT DE LA HAUTE-VIENNE,1
4402,UNION DEPARTEMENTALE CGT DES HAUTES-ALPES,1
4403,UNION DEPARTEMENTALE CGT DES SYNDICATS DE SAVOIE,1
4404,UNION DEPARTEMENTALE CGT DES VOSGES,1
4405,UNION DEPARTEMENTALE CGT DU BAS-RHIN,1
4406,UNION DEPARTEMENTALE CGT DU PUY-DE-DOME,1
4407,UNION DEPARTEMENTALE CGT DU RHONE,1
