,date de notification,date de fin,prestataire,objet,montant
106,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,188640.0
107,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,188640.0
108,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,188640.0
109,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,188640.0
110,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,188640.0
111,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,185280.0
112,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,185168.4
113,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,184566.0
114,42926,2021-07-09 00:00:00,ATOS INTEGRATION,Service internet France connect,184455.96
115,43208,2022-04-17 00:00:00,SOPRA STERIA GROUP,"Conseil et expertise SI (DINSIC) - LOT 6
Attributaire n°1",183855.0
116,43860,2024-01-29 00:00:00,NUMA,Accompagnement de la DINUM dans l’appui à la création et à l’animation d’un incubateur de services publics numériques en mode agile ,182981.7
117,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,180528.02
118,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,180480.0
119,43319,2021-08-06 00:00:00,SCOPYLEFT,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,180000.0
120,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,179952.0
121, 12/05/2017, 10/11/18,OCTO TECHNOLOGY,Appui et à la mise en œuvre de start-up d’État,179280.0
122, 12/05/2017, 10/11/18,OCTO TECHNOLOGY,Appui et à la mise en œuvre de start-up d’État,179280.0
123, 12/05/2017, 10/11/18,OCTO TECHNOLOGY,Appui et à la mise en œuvre de start-up d’État,179280.0
124, 12/05/2017, 10/11/18,OCTO TECHNOLOGY,Appui et à la mise en œuvre de start-up d’État,179280.0
125, 12/05/2017, 10/11/18,OCTO TECHNOLOGY,Appui et à la mise en œuvre de start-up d’État,179280.0
126, 12/05/2017, 10/11/18,OCTO TECHNOLOGY,Appui et à la mise en œuvre de start-up d’État,179280.0
127,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,178080.0
128,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,177902.4
129,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,176640.0
130,43208,2022-04-17 00:00:00,SOPRA STERIA GROUP,"Conseil et expertise SI (DINSIC) - LOT 6
Attributaire n°1",175710.0
131,43208,2022-04-17 00:00:00,SOPRA STERIA GROUP,"Conseil et expertise SI (DINSIC) - LOT 6
Attributaire n°1",175695.0
132,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,175656.0
133,42914,2021-08-27 00:00:00,KALIOP,Service internet France connect,175320.0
134,43319,2021-08-06 00:00:00,OCTO TECHNOLOGY,Accompagnement de la DINSIC dans le développement et le design de services publics numériques en mode agile ,174720.0
135,42867,2019-09-30 00:00:00,NUMA," Prestations d’accompagnement du SGMAP dans le déploiement de Start-up d’État
et la réalisation de développement de services numériques en mode Agile",172440.0
136,43208,2022-04-17 00:00:00,SOPRA STERIA GROUP,"Conseil et expertise SI (DINSIC) - LOT 5
Attributaire n°2",171564.0
